card_name,card_name_eng,収録商品,card_type,series,unit,cost,base_heart,blade_heart,blade,rarity,card_no,required_heart,special_heart,score,text_card,image
MY舞☆TONIGHT,,ブースターパック MELLOW MOMENT,ライブ,ラブライブ！サンシャイン!!,,,,[全ブレード],,SECL,PL!S-bp2-023-SECL,"red:4,grey:4",,3,<ライブ開始時> 自分のライブカード置き場に「MY舞☆TONIGHT」以外の『Aqours』のライブカードがある場合、ライブ終了時まで、自分のステージのメンバーは <ブレード> を得る。,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/BP07/PL!S-bp2-023-SECL.png
高海千歌,Takami Chika,ブースターパック MELLOW MOMENT,メンバー,ラブライブ！サンシャイン!!,CYaRon！,9,"red:1,green:1,blue:1",,3,P,PL!S-bp7-001-P,,,,<登場> 手札を1枚控え室に置いてもよい：自分の控え室からコスト10以上のメンバーカードを1枚手札に加える。これにより「桜内梨子」か「渡辺 曜」を手札に加えた場合、ライブ終了時まで、 <ブレード> <ブレード> を得る。,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/BP07/PL!S-bp7-001-P.png
高海千歌,Takami Chika,ブースターパック MELLOW MOMENT,メンバー,ラブライブ！サンシャイン!!,CYaRon！,9,"red:1,green:1,blue:1",,3,R,PL!S-bp7-001-R,,,,<登場> 手札を1枚控え室に置いてもよい：自分の控え室からコスト10以上のメンバーカードを1枚手札に加える。これにより「桜内梨子」か「渡辺 曜」を手札に加えた場合、ライブ終了時まで、 <ブレード> <ブレード> を得る。,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/BP07/PL!S-bp7-001-R.png
桜内梨子,Sakurauchi Riko,ブースターパック MELLOW MOMENT,メンバー,ラブライブ！サンシャイン!!,Guilty Kiss,4,"green:1,blue:1",blue,,P,PL!S-bp7-002-P,,,,<登場> 自分のステージにコスト9以上の『Aqours』のメンバーがいる場合、カードを1枚引く。,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/BP07/PL!S-bp7-002-P.png
松浦果南,Matsuura Kanan,ブースターパック MELLOW MOMENT,メンバー,ラブライブ！サンシャイン!!,AZALEA,4,blue:1,green,2,R+,PL!S-bp7-003-R＋,,,,<登場> / <ライブ開始時> 自分のデッキの一番上のカードを見る。それをデッキの一番下に置いてもよい。 <登場> 以下から1つを選ぶ。 ・ライブ終了時まで、自分のステージにいる元々持つ <ブレード> の数が3つ以下の『Aqours』のメンバーは、相手の効果によってはウェイトしない。 ・このメンバーを『Aqours』か『Saint Snow』のメンバーがいるエリアにポジションチェンジする。,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/BP07/PL!S-bp7-003-R2.png
桜内梨子,Sakurauchi Riko,ブースターパック MELLOW MOMENT,メンバー,ラブライブ！サンシャイン!!,Guilty Kiss,4,"green:1,blue:1",blue,,R,PL!S-bp7-002-R,,,,<登場> 自分のステージにコスト9以上の『Aqours』のメンバーがいる場合、カードを1枚引く。,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/BP07/PL!S-bp7-002-R.png
松浦果南,Matsuura Kanan,ブースターパック MELLOW MOMENT,メンバー,ラブライブ！サンシャイン!!,AZALEA,4,blue:1,green,2,P,PL!S-bp7-003-P,,,,<登場> / <ライブ開始時> 自分のデッキの一番上のカードを見る。それをデッキの一番下に置いてもよい。 <登場> 以下から1つを選ぶ。 ・ライブ終了時まで、自分のステージにいる元々持つ <ブレード> の数が3つ以下の『Aqours』のメンバーは、相手の効果によってはウェイトしない。 ・このメンバーを『Aqours』か『Saint Snow』のメンバーがいるエリアにポジションチェンジする。,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/BP07/PL!S-bp7-003-P.png
松浦果南,Matsuura Kanan,ブースターパック MELLOW MOMENT,メンバー,ラブライブ！サンシャイン!!,AZALEA,4,blue:1,green,2,P+,PL!S-bp7-003-P＋,,,,<登場> / <ライブ開始時> 自分のデッキの一番上のカードを見る。それをデッキの一番下に置いてもよい。 <登場> 以下から1つを選ぶ。 ・ライブ終了時まで、自分のステージにいる元々持つ <ブレード> の数が3つ以下の『Aqours』のメンバーは、相手の効果によってはウェイトしない。 ・このメンバーを『Aqours』か『Saint Snow』のメンバーがいるエリアにポジションチェンジする。,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/BP07/PL!S-bp7-003-P2.png
黒澤ダイヤ,Kurosawa Dia,ブースターパック MELLOW MOMENT,メンバー,ラブライブ！サンシャイン!!,AZALEA,13,"red:2,green:3,blue:2",,3,R,PL!S-bp7-004-R,,,,<登場> 『Aqours』のメンバーからバトンタッチして登場した場合、自分と相手はそれぞれ、自身の手札のカードを3枚まで選び、選んだカード以外のカードをシャッフルし、自身のデッキの下に置く。その後、自分と相手はそれぞれカードを3枚引く。 <ライブ開始時> 自分のデッキの下からカードを3枚見る。その中から好きな枚数を好きな順番でデッキの下に置き、残りを控え室に置く。,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/BP07/PL!S-bp7-004-R.png
黒澤ダイヤ,Kurosawa Dia,ブースターパック MELLOW MOMENT,メンバー,ラブライブ！サンシャイン!!,AZALEA,13,"red:2,green:3,blue:2",,3,P,PL!S-bp7-004-P,,,,<登場> 『Aqours』のメンバーからバトンタッチして登場した場合、自分と相手はそれぞれ、自身の手札のカードを3枚まで選び、選んだカード以外のカードをシャッフルし、自身のデッキの下に置く。その後、自分と相手はそれぞれカードを3枚引く。 <ライブ開始時> 自分のデッキの下からカードを3枚見る。その中から好きな枚数を好きな順番でデッキの下に置き、残りを控え室に置く。,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/BP07/PL!S-bp7-004-P.png
