card_name,card_name_eng,収録商品,card_type,series,unit,cost,base_heart,blade_heart,blade,rarity,card_no,required_heart,special_heart,score,text_card,image
日野下花帆,Hinoshita Kaho,コレクション クリアポケット ラブライブ！蓮ノ空女学院スクールアイドルクラブ,メンバー,蓮ノ空女学院スクールアイドルクラブ,スリーズブーケ,4,blue:1,blue,2,CL,PL!HS-cl1-001-CL,,,,<ライブ開始時> 自分のデッキの上からカードを1枚見る。そのカードを控え室に置いてもよい。,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/CLHS01/PL!HS-cl1-001-CL.png
村野さやか,Murano Sayaka,コレクション クリアポケット ラブライブ！蓮ノ空女学院スクールアイドルクラブ,メンバー,蓮ノ空女学院スクールアイドルクラブ,DOLLCHESTRA,5,"pink:1,blue:1",,2,CL,PL!HS-cl1-002-CL,,,,<登場> <E> 支払ってもよい：自分の控え室から『DOLLCHESTRA』のカードを1枚手札に加える。,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/CLHS01/PL!HS-cl1-002-CL.png
大沢瑠璃乃,Osawa Rurino,コレクション クリアポケット ラブライブ！蓮ノ空女学院スクールアイドルクラブ,メンバー,蓮ノ空女学院スクールアイドルクラブ,みらくらぱーく！,4,blue:1,blue,2,CL,PL!HS-cl1-003-CL,,,,<起動> <ターン1回> このメンバーをウェイトにする：ライブ終了時まで、自分のステージにいる『みらくらぱーく！』のメンバー1人は、 <ブレード> を得る。,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/CLHS01/PL!HS-cl1-003-CL.png
百生 吟子,,コレクション クリアポケット ラブライブ！蓮ノ空女学院スクールアイドルクラブ,メンバー,蓮ノ空女学院スクールアイドルクラブ,スリーズブーケ,9,"green:1,purple:2",,4,CL,PL!HS-cl1-004-CL,,,,<登場> 以下から1つを選ぶ。 ・自分のデッキの上からカードを3枚控え室に置く。 ・相手のステージにいるコスト2以下のメンバー1人をウェイトにする。,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/CLHS01/PL!HS-cl1-004-CL.png
徒町 小鈴,,コレクション クリアポケット ラブライブ！蓮ノ空女学院スクールアイドルクラブ,メンバー,蓮ノ空女学院スクールアイドルクラブ,DOLLCHESTRA,4,blue:2,blue,,CL,PL!HS-cl1-005-CL,,,,<ライブ開始時> <E> 支払ってもよい：ライブ終了時まで、 <ブレード> <ブレード> を得る。,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/CLHS01/PL!HS-cl1-005-CL.png
安養寺 姫芽,,コレクション クリアポケット ラブライブ！蓮ノ空女学院スクールアイドルクラブ,メンバー,蓮ノ空女学院スクールアイドルクラブ,みらくらぱーく！,11,"pink:1,green:1,blue:1,purple:1",pink,2,CL,PL!HS-cl1-006-CL,,,,<登場> ライブ終了時まで、 <ブレード> <ブレード> <ブレード> を得る。,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/CLHS01/PL!HS-cl1-006-CL.png
セラス 柳田 リリエンフェルト,Ceras Yanagida Lilienfeld,コレクション クリアポケット ラブライブ！蓮ノ空女学院スクールアイドルクラブ,メンバー,蓮ノ空女学院スクールアイドルクラブ,Edel Note,7,"blue:1,purple:2",,1,CL,PL!HS-cl1-007-CL,,,,<登場> 手札を1枚控え室に置いてもよい：自分のデッキの上からカードを3枚見る。その中から1枚を手札に加え、残りを控え室に置く。,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/CLHS01/PL!HS-cl1-007-CL.png
桂城 泉,Katsuragi Izumi,コレクション クリアポケット ラブライブ！蓮ノ空女学院スクールアイドルクラブ,メンバー,蓮ノ空女学院スクールアイドルクラブ,Edel Note,4,green:1,green,2,CL,PL!HS-cl1-008-CL,,,,<起動> このメンバーをステージから控え室に置く：自分の控え室から『蓮ノ空』のカードを1枚手札に加える。,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/CLHS01/PL!HS-cl1-008-CL.png
水彩世界,,コレクション クリアポケット ラブライブ！蓮ノ空女学院スクールアイドルクラブ,ライブ,蓮ノ空女学院スクールアイドルクラブ,スリーズブーケ,,,all,,CL,PL!HS-cl1-009-CL,"green:1,blue:1,grey:1",,1,<ライブ成功時> エールにより公開された自分のカードの中から、コスト4以上9以下の『蓮ノ空』のメンバーカードを1枚手札に加える。,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/CLHS01/PL!HS-cl1-009-CL.png
AWOKE,,コレクション クリアポケット ラブライブ！蓮ノ空女学院スクールアイドルクラブ,ライブ,蓮ノ空女学院スクールアイドルクラブ,DOLLCHESTRA,,,all,,CL,PL!HS-cl1-010-CL,"blue:5,grey:3",,3,<ライブ開始時> ライブ終了時まで、自分のステージにいるコスト10以上の『蓮ノ空』のメンバー1人は、 <ブレード> <ブレード> を得る。,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/CLHS01/PL!HS-cl1-010-CL.png
ド！ド！ド！,,コレクション クリアポケット ラブライブ！蓮ノ空女学院スクールアイドルクラブ,ライブ,蓮ノ空女学院スクールアイドルクラブ,みらくらぱーく！,,,pink,,CL,PL!HS-cl1-011-CL,"pink:4,green:1,purple:1,grey:6",ドロー,5,<ライブ成功時> <E> 支払ってもよい：以下から1つを選ぶ。 ・自分の控え室からメンバーカードを1枚手札に加える。 ・自分のライブカード置き場にカードが2枚以上ある場合、自分の控え室から『蓮ノ空』のライブカードを1枚手札に加える。,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/CLHS01/PL!HS-cl1-011-CL.png
Edelied,,コレクション クリアポケット ラブライブ！蓮ノ空女学院スクールアイドルクラブ,ライブ,蓮ノ空女学院スクールアイドルクラブ,Edel Note,,,all,,CL,PL!HS-cl1-012-CL,"purple:3,grey:2",,2,<ライブ成功時> 自分と相手のライブの合計スコアが同じ場合、エールにより公開された自分のカードの中から、コスト9以上のメンバーカードを1枚手札に加える。,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/CLHS01/PL!HS-cl1-012-CL.png
スリーズブーケ,,コレクション クリアポケット ラブライブ！蓮ノ空女学院スクールアイドルクラブ,エネルギー,蓮ノ空女学院スクールアイドルクラブ,スリーズブーケ,,,,,CL,PL!HS-cl1-013-CL,,,,,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/CLHS01/PL!HS-cl1-013-CL.png
DOLLCHESTRA,,コレクション クリアポケット ラブライブ！蓮ノ空女学院スクールアイドルクラブ,エネルギー,蓮ノ空女学院スクールアイドルクラブ,DOLLCHESTRA,,,,,CL,PL!HS-cl1-014-CL,,,,,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/CLHS01/PL!HS-cl1-014-CL.png
みらくらぱーく！,,コレクション クリアポケット ラブライブ！蓮ノ空女学院スクールアイドルクラブ,エネルギー,蓮ノ空女学院スクールアイドルクラブ,みらくらぱーく！,,,,,CL,PL!HS-cl1-015-CL,,,,,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/CLHS01/PL!HS-cl1-015-CL.png
