card_name,card_name_eng,収録商品,card_type,series,unit,cost,base_heart,blade_heart,blade,rarity,card_no,required_heart,special_heart,score,text_card,image
エネルギーカード,,スタートデッキ ラブライブ！蓮ノ空女学院スクールアイドルクラブ,エネルギー,蓮ノ空女学院スクールアイドルクラブ,,,,,,SD,LL-E-002-SD,,,,,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/HSSD01/LL-E-002-SD.png
日野下花帆,Hinoshita Kaho,スタートデッキ ラブライブ！蓮ノ空女学院スクールアイドルクラブ,メンバー,蓮ノ空女学院スクールアイドルクラブ,スリーズブーケ,9,green:3,,2,SD,PL!HS-sd1-001-SD,,,,<自動> このメンバーがコスト 10 以上の『蓮ノ空』のメンバーとバトンタッチして控え室に置かれた とき、エネルギーを2枚アクティブにする。,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/HSSD01/PL!HS-sd1-001-SD.png
村野さやか,Murano Sayaka,スタートデッキ ラブライブ！蓮ノ空女学院スクールアイドルクラブ,メンバー,蓮ノ空女学院スクールアイドルクラブ,DOLLCHESTRA,11,"pink:1,green:1,blue:4",,2,SD,PL!HS-sd1-002-SD,,,,<ライブ開始時> 手札を2枚控え室に置いてもよい：自分のデッキの上からカードを5枚見る。その中からメンバーカードを1枚公開して手札に加えてもよい。残りを控え室に置く。これにより『蓮ノ空』のカードを手札に加えた場合、ライブ終了時まで、 blue <ブレード> を得る。,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/HSSD01/PL!HS-sd1-002-SD.png
大沢瑠璃乃,Osawa Rurino,スタートデッキ ラブライブ！蓮ノ空女学院スクールアイドルクラブ,メンバー,蓮ノ空女学院スクールアイドルクラブ,みらくらぱーく！,7,"pink:1,blue:1",,2,SD,PL!HS-sd1-003-SD,,,,<ライブ開始時> <E> 支払ってもよい：ライブ終了時まで、自分のステージにいるこのメンバー以外の『蓮ノ空』のメンバー1人は、 pink <ブレード> を得る。,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/HSSD01/PL!HS-sd1-003-SD.png
百生吟子,Momose Ginko,スタートデッキ ラブライブ！蓮ノ空女学院スクールアイドルクラブ,メンバー,蓮ノ空女学院スクールアイドルクラブ,スリーズブーケ,11,"pink:1,green:1,blue:1,purple:1",green,3,SD,PL!HS-sd1-004-SD,,,,<登場> 手札の『蓮ノ空』のカードを1枚控え室に置いてもよい：自分の控え室からメンバーカードを1枚手札に加える。 <常時> 自分のステージに「日野下花帆」か「徒町小鈴」か「安養寺姫芽」がいるかぎり、 green を得る。,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/HSSD01/PL!HS-sd1-004-SD.png
徒町小鈴,Kachimachi Kosuzu,スタートデッキ ラブライブ！蓮ノ空女学院スクールアイドルクラブ,メンバー,蓮ノ空女学院スクールアイドルクラブ,DOLLCHESTRA,13,"pink:1,green:1,blue:2,purple:1",blue,3,SD,PL!HS-sd1-005-SD,,,,<登場> 「徒町小鈴」以外の『蓮ノ空』のメンバーからバトンタッチして登場した場合、自分の控え室からライブカードを1枚手札に加える。 <常時> 自分のステージに「村野さやか」か「百生吟子」か「安養寺姫芽」がいるかぎり、 <ブレード> を得る。,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/HSSD01/PL!HS-sd1-005-SD.png
安養寺 姫芽,Anyoji Hime,スタートデッキ ラブライブ！蓮ノ空女学院スクールアイドルクラブ,メンバー,蓮ノ空女学院スクールアイドルクラブ,みらくらぱーく！,15,"pink:2,green:2,blue:2,purple:1",,5,SD,PL!HS-sd1-006-SD,,,,<登場> 自分のステージに「大沢瑠璃乃」か「百生吟子」か「徒町小鈴」がいる場合、エネルギーを1枚アクティブにし、自分の控え室から『蓮ノ空』のライブカードを1枚手札に加える。 <ライブ開始時> <E> 支払ってもよい：ライブ終了時まで、 <ブレード> <ブレード> を得る。,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/HSSD01/PL!HS-sd1-006-SD.png
セラス 柳田 リリエンフェルト,Ceras Yanagida Lilienfeld,スタートデッキ ラブライブ！蓮ノ空女学院スクールアイドルクラブ,メンバー,蓮ノ空女学院スクールアイドルクラブ,Edel Note,4,"green:1,purple:1",purple,1,SD,PL!HS-sd1-007-SD,,,,,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/HSSD01/PL!HS-sd1-007-SD.png
桂城 泉,Katsuragi Izumi,スタートデッキ ラブライブ！蓮ノ空女学院スクールアイドルクラブ,メンバー,蓮ノ空女学院スクールアイドルクラブ,Edel Note,13,"pink:1,green:1,blue:1,purple:2",purple,4,SD,PL!HS-sd1-008-SD,,,,<登場> カードを2枚引き、手札を1枚控え室に置く。 <ライブ開始時> 手札の『蓮ノ空』のカードを2枚控え室に置いてもよい： pink か green か blue か purple のうち、1つを選ぶ。ライブ終了時まで、自分のステージにいるこのメンバー以外の『蓮ノ空』のメンバー1人は、選んだハートを2つ得る。,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/HSSD01/PL!HS-sd1-008-SD.png
日野下花帆,Hinoshita Kaho,スタートデッキ ラブライブ！蓮ノ空女学院スクールアイドルクラブ,メンバー,蓮ノ空女学院スクールアイドルクラブ,スリーズブーケ,2,green:1,green,1,SD,PL!HS-sd1-009-SD,,,,<起動> このメンバーをステージから控え室に置く：自分の控え室からライブカードを1枚手札に加える。,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/HSSD01/PL!HS-sd1-009-SD.png
村野さやか,Murano Sayaka,スタートデッキ ラブライブ！蓮ノ空女学院スクールアイドルクラブ,メンバー,蓮ノ空女学院スクールアイドルクラブ,DOLLCHESTRA,4,"blue:1,purple:1",blue,1,SD,PL!HS-sd1-010-SD,,,,,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/HSSD01/PL!HS-sd1-010-SD.png
大沢瑠璃乃,Osawa Rurino,スタートデッキ ラブライブ！蓮ノ空女学院スクールアイドルクラブ,メンバー,蓮ノ空女学院スクールアイドルクラブ,みらくらぱーく！,4,"pink:1,purple:1",pink,1,SD,PL!HS-sd1-011-SD,,,,,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/HSSD01/PL!HS-sd1-011-SD.png
百生吟子,Momose Ginko,スタートデッキ ラブライブ！蓮ノ空女学院スクールアイドルクラブ,メンバー,蓮ノ空女学院スクールアイドルクラブ,スリーズブーケ,4,green:2,green,1,SD,PL!HS-sd1-012-SD,,,,,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/HSSD01/PL!HS-sd1-012-SD.png
徒町小鈴,Kachimachi Kosuzu,スタートデッキ ラブライブ！蓮ノ空女学院スクールアイドルクラブ,メンバー,蓮ノ空女学院スクールアイドルクラブ,DOLLCHESTRA,2,blue:1,blue,1,SD,PL!HS-sd1-013-SD,,,,<登場> 自分のデッキの上からカードを3枚控え室に置く。それらがすべて blue を持つメンバーカードの場合、ライブ終了時まで、 blue を得る。,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/HSSD01/PL!HS-sd1-013-SD.png
安養寺 姫芽,Anyoji Hime,スタートデッキ ラブライブ！蓮ノ空女学院スクールアイドルクラブ,メンバー,蓮ノ空女学院スクールアイドルクラブ,みらくらぱーく！,9,"pink:1,green:1,blue:1,purple:1",,1,SD,PL!HS-sd1-014-SD,,,,<登場> 手札を1枚控え室に置いてもよい：自分の控え室から『蓮ノ空』のカードを1枚手札に加える。,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/HSSD01/PL!HS-sd1-014-SD.png
セラス 柳田 リリエンフェルト,Ceras Yanagida Lilienfeld,スタートデッキ ラブライブ！蓮ノ空女学院スクールアイドルクラブ,メンバー,蓮ノ空女学院スクールアイドルクラブ,Edel Note,2,purple:1,purple,1,SD,PL!HS-sd1-015-SD,,,,<起動> このメンバーをステージから控え室に置く：自分の控え室からメンバーカードを1枚手札に加える。,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/HSSD01/PL!HS-sd1-015-SD.png
桂城 泉,Katsuragi Izumi,スタートデッキ ラブライブ！蓮ノ空女学院スクールアイドルクラブ,メンバー,蓮ノ空女学院スクールアイドルクラブ,Edel Note,9,"pink:1,green:1,purple:2",,3,SD,PL!HS-sd1-016-SD,,,,,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/HSSD01/PL!HS-sd1-016-SD.png
夏めきペイン,,スタートデッキ ラブライブ！蓮ノ空女学院スクールアイドルクラブ,ライブ,蓮ノ空女学院スクールアイドルクラブ,,,,all,,SD,PL!HS-sd1-017-SD,"pink:1,green:1,blue:1,grey:2",,2,<ライブ成功時> 自分のステージに『蓮ノ空』のメンバーがいる場合、カードを1枚引き、手札を1枚控え室に置く。,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/HSSD01/PL!HS-sd1-017-SD.png
Dream Believers（105期Ver.）,,スタートデッキ ラブライブ！蓮ノ空女学院スクールアイドルクラブ,ライブ,蓮ノ空女学院スクールアイドルクラブ,,,,all,,SD,PL!HS-sd1-018-SD,"pink:1,green:1,blue:1,purple:1,grey:4",,3,<ライブ開始時> 自分のステージに『蓮ノ空』のメンバーが3人以上いて、かつ自分の控え室にカード名に「Dream Believers」を含むライブカードがある場合、このカードのスコアを＋１する。,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/HSSD01/PL!HS-sd1-018-SD.png
アイドゥーミー！,,スタートデッキ ラブライブ！蓮ノ空女学院スクールアイドルクラブ,ライブ,蓮ノ空女学院スクールアイドルクラブ,,,,pink,,SD,PL!HS-sd1-019-SD,"pink:1,green:1,blue:1,purple:1,grey:8",ドロー,5,,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/HSSD01/PL!HS-sd1-019-SD.png
Link to the FUTURE（104期Ver.）,,スタートデッキ ラブライブ！蓮ノ空女学院スクールアイドルクラブ,ライブ,蓮ノ空女学院スクールアイドルクラブ,,,,,,SD,PL!HS-sd1-020-SD,"pink:2,green:2,blue:2,grey:8",スコア,6,<常時> すべての領域にあるこのカードは『スリーズブーケ』、『DOLLCHESTRA』、『みらくらぱーく！』として扱う。 <ライブ開始時> 手札の『蓮ノ空』のメンバーカードを3枚まで控え室に置いてもよい：ライブ終了時まで、自分のステージのメンバー1人は、これにより控え室に置いたカード1枚につき、 <ブレード> を得る。,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/HSSD01/PL!HS-sd1-020-SD.png
日野下花帆,Hinoshita Kaho,スタートデッキ ラブライブ！蓮ノ空女学院スクールアイドルクラブ,エネルギー,蓮ノ空女学院スクールアイドルクラブ,スリーズブーケ,,,,,P,PL!HS-sd1-021-P,,,,,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/HSSD01/PL!HS-sd1-021-P.png
村野さやか,Murano Sayaka,スタートデッキ ラブライブ！蓮ノ空女学院スクールアイドルクラブ,エネルギー,蓮ノ空女学院スクールアイドルクラブ,DOLLCHESTRA,,,,,P,PL!HS-sd1-022-P,,,,,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/HSSD01/PL!HS-sd1-022-P.png
大沢瑠璃乃,Osawa Rurino,スタートデッキ ラブライブ！蓮ノ空女学院スクールアイドルクラブ,エネルギー,蓮ノ空女学院スクールアイドルクラブ,みらくらぱーく！,,,,,P,PL!HS-sd1-023-P,,,,,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/HSSD01/PL!HS-sd1-023-P.png
百生 吟子,Momose Ginko,スタートデッキ ラブライブ！蓮ノ空女学院スクールアイドルクラブ,エネルギー,蓮ノ空女学院スクールアイドルクラブ,スリーズブーケ,,,,,P,PL!HS-sd1-024-P,,,,,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/HSSD01/PL!HS-sd1-024-P.png
徒町 小鈴,Kachimachi Kosuzu,スタートデッキ ラブライブ！蓮ノ空女学院スクールアイドルクラブ,エネルギー,蓮ノ空女学院スクールアイドルクラブ,DOLLCHESTRA,,,,,P,PL!HS-sd1-025-P,,,,,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/HSSD01/PL!HS-sd1-025-P.png
安養寺 姫芽,Anyoji Hime,スタートデッキ ラブライブ！蓮ノ空女学院スクールアイドルクラブ,エネルギー,蓮ノ空女学院スクールアイドルクラブ,みらくらぱーく！,,,,,P,PL!HS-sd1-026-P,,,,,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/HSSD01/PL!HS-sd1-026-P.png
