card_name,card_name_eng,収録商品,card_type,series,unit,cost,base_heart,blade_heart,blade,rarity,card_no,required_heart,special_heart,score,text_card,image
アオクハルカ,Aoko Haruka,プレミアムブースター 蓮ノ空女学院スクールアイドルクラブ,ライブ,蓮ノ空女学院スクールアイドルクラブ,スリーズブーケ,,,[全ブレード],,L+,PL!HS-bp2-022-L＋,"green:4,grey:1",,2,<ライブ開始時> 自分の控え室に『スリーズブーケ』のライブカードが3枚以上ある場合、このカードのスコアを＋１する。,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/PBHS/PL!HS-bp2-022-L2.png
レディバグ,Ladybug,プレミアムブースター 蓮ノ空女学院スクールアイドルクラブ,ライブ,蓮ノ空女学院スクールアイドルクラブ,DOLLCHESTRA,,,[全ブレード],,L+,PL!HS-bp2-024-L＋,"blue:6,grey:5",,4,<ライブ開始時> 自分のステージに「徒町小鈴」が登場しており、かつ「徒町小鈴」よりコストの大きい「村野さやか」が登場している場合、このカードを成功させるための必要ハートを grey grey grey 減らす。,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/PBHS/PL!HS-bp2-024-L2.png
みらくりえーしょん,Mira Creation,プレミアムブースター 蓮ノ空女学院スクールアイドルクラブ,ライブ,蓮ノ空女学院スクールアイドルクラブ,みらくらぱーく!,,,pink,,L+,PL!HS-bp2-026-L＋,"pink:7,grey:7",[ドロー],5,<ライブ開始時> 自分のステージの右サイドエリアに「大沢瑠璃乃」が、左サイドエリアに「安養寺姫芽」が、センターエリアに「藤島 慈」がそれぞれ登場している場合、このカードのスコアを＋２する。,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/PBHS/PL!HS-bp2-026-L2.png
日野下花帆,Hinoshita Kaho,プレミアムブースター 蓮ノ空女学院スクールアイドルクラブ,メンバー,蓮ノ空女学院スクールアイドルクラブ,スリーズブーケ,11,"green:3,purple:1",green,3,R,PL!HS-pb1-001-R,,,,<自動> <ターン2回> 自分のステージにほかの『スリーズブーケ』のメンバーが登場するたび、 <E> 支払ってもよい。そうした場合、エネルギーを2枚アクティブにする。 <ライブ開始時> <E> <E> 支払ってもよい：ライブ終了時まで、 green <ブレード> を得る。,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/PBHS/PL!HS-pb1-001-R.png
日野下花帆,Hinoshita Kaho,プレミアムブースター 蓮ノ空女学院スクールアイドルクラブ,メンバー,蓮ノ空女学院スクールアイドルクラブ,スリーズブーケ,11,"green:3,purple:1",green,3,P+,PL!HS-pb1-001-P＋,,,,<自動> <ターン2回> 自分のステージにほかの『スリーズブーケ』のメンバーが登場するたび、 <E> 支払ってもよい。そうした場合、エネルギーを2枚アクティブにする。 <ライブ開始時> <E> <E> 支払ってもよい：ライブ終了時まで、 green <ブレード> を得る。,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/PBHS/PL!HS-pb1-001-P2.png
村野さやか,Murano Sayaka,プレミアムブースター 蓮ノ空女学院スクールアイドルクラブ,メンバー,蓮ノ空女学院スクールアイドルクラブ,DOLLCHESTRA,2,,blue,1,R,PL!HS-pb1-002-R,,,,<起動> <ターン1回> 手札の「村野さやか」のメンバーカードを1枚公開する：これにより公開したカードをこのメンバーの下に置く。 <ライブ開始時> ライブ終了時まで、このメンバーの下にあるメンバーカード1枚につき、このカードのコストを＋４して blue を得る。この能力では下にあるメンバーカードは3枚までしか数えない。,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/PBHS/PL!HS-pb1-002-R.png
村野さやか,Murano Sayaka,プレミアムブースター 蓮ノ空女学院スクールアイドルクラブ,メンバー,蓮ノ空女学院スクールアイドルクラブ,DOLLCHESTRA,2,,blue,1,P+,PL!HS-pb1-002-P＋,,,,<起動> <ターン1回> 手札の「村野さやか」のメンバーカードを1枚公開する：これにより公開したカードをこのメンバーの下に置く。 <ライブ開始時> ライブ終了時まで、このメンバーの下にあるメンバーカード1枚につき、このカードのコストを＋４して blue を得る。この能力では下にあるメンバーカードは3枚までしか数えない。,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/PBHS/PL!HS-pb1-002-P2.png
大沢瑠璃乃,Osawa Rurino,プレミアムブースター 蓮ノ空女学院スクールアイドルクラブ,メンバー,蓮ノ空女学院スクールアイドルクラブ,みらくらぱーく！,15,"pink:3,green:1,blue:1",,5,R,PL!HS-pb1-003-R,,,,<登場> 手札の『みらくらぱーく！』のメンバーカードを好きな枚数控え室に置き、その後、その枚数に1を足した枚数のカードを引く。 <自動> <ターン2回> 自分の手札からカードが1枚以上控え室に置かれるたび、ライブ終了時まで、 pink <ブレード> を得る。,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/PBHS/PL!HS-pb1-003-R.png
大沢瑠璃乃,Osawa Rurino,プレミアムブースター 蓮ノ空女学院スクールアイドルクラブ,メンバー,蓮ノ空女学院スクールアイドルクラブ,みらくらぱーく！,15,"pink:3,green:1,blue:1",,5,P+,PL!HS-pb1-003-P＋,,,,<登場> 手札の『みらくらぱーく！』のメンバーカードを好きな枚数控え室に置き、その後、その枚数に1を足した枚数のカードを引く。 <自動> <ターン2回> 自分の手札からカードが1枚以上控え室に置かれるたび、ライブ終了時まで、 pink <ブレード> を得る。,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/PBHS/PL!HS-pb1-003-P2.png
百生吟子,Momose Ginko,プレミアムブースター 蓮ノ空女学院スクールアイドルクラブ,メンバー,蓮ノ空女学院スクールアイドルクラブ,スリーズブーケ,4,"green:1,blue:1",green,,R,PL!HS-pb1-004-R,,,,<登場> <E> 手札を1枚控え室に置いてもよい：自分のデッキの上からカードを3枚控え室に置く。その後、自分の控え室から『スリーズブーケ』のライブカードを1枚手札に加える。,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/PBHS/PL!HS-pb1-004-R.png
