card_name,product,card_type,series,unit,cost,base_heart,blade_heart,blade,rarity,card_no,required_heart,special_heart,score,text_card,image
WAO-WAO Powerful day!,プレミアムブースター ラブライブ！,ライブ,ラブライブ！,Printemps,,,yellow,,L,PL!-pb1-028-L,"pink:2,yellow:4,grey:7",ドロー,5,<ライブ開始時> 自分のステージにいる『Printemps』のメンバーをアクティブにする。これによりウェイト状態のメンバーが3人以上アクティブ状態になったとき、このカードのスコアを＋１する。,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/PBLL/PL!-pb1-L-028-L.png
知らないLove＊教えてLove,プレミアムブースター ラブライブ！,ライブ,ラブライブ！,lily white,,,,,L,PL!-pb1-029-L,"pink:2,purple:1",スコア,1,<ライブ開始時> 自分の成功ライブカード置き場のカードが0枚で、かつ自分のステージにいるメンバーが『lily white』のみの場合、このカードのスコアを＋１する。,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/PBLL/PL!-pb1-L-029-L.png
Cutie Panther,プレミアムブースター ラブライブ！,ライブ,ラブライブ！,BiBi,,,purple,,L,PL!-pb1-030-L,"yellow:2,purple:4,grey:7",ドロー,5,<ライブ開始時> 相手のステージにウェイト状態のメンバーがいる場合、このカードを成功させるための必要ハートを grey grey 減らす。 <ライブ成功時> 自分のステージに名前の異なる『BiBi』のメンバーが2人以上いる場合、自分の控え室から『BiBi』のメンバーカードを1枚手札に加える。,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/PBLL/PL!-pb1-L-030-L.png
輝夜の城で踊りたい,プレミアムブースター ラブライブ！,ライブ,ラブライブ！,,,,all,,L,PL!-pb1-031-L,"purple:1,grey:2",,1,<ライブ成功時> 手札を1枚控え室に置いてもよい：エールにより公開された自分のカードの中から、『μ's』のメンバーカードを1枚手札に加える。,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/PBLL/PL!-pb1-L-031-L.png
SENTIMENTAL StepS,プレミアムブースター ラブライブ！,ライブ,ラブライブ！,,,,all,,L,PL!-pb1-032-L,"pink:1,yellow:1,purple:1,grey:2",,2,<ライブ成功時> 自分の成功ライブカード置き場に『μ's』のカードがある場合、カードを1枚引く。,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/PBLL/PL!-pb1-L-032-L.png
KiRa-KiRa Sensation!,プレミアムブースター ラブライブ！,ライブ,ラブライブ！,,,,pink,,L,PL!-pb1-033-L,"pink:4,yellow:4,purple:4,grey:6",ドロー,8,,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/PBLL/PL!-pb1-L-033-L.png
Snow halation,プレミアムブースター ラブライブ！,ライブ,ラブライブ！,,,,all,,L+,PL!-bp3-020-L＋,"pink:1,purple:1,grey:3",,2,,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/PBLL/PL!-bp3-L2.png
高坂穂乃果&南 ことり&小泉花陽,プレミアムブースター ラブライブ！,エネルギー,ラブライブ！,Printemps,,,,,LLE,PL!-pb1-100-LLE,,,,,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/PBLL/PL!-pb1-100-LLE.png
園田海未&星空 凛&東條 希,プレミアムブースター ラブライブ！,エネルギー,ラブライブ！,lily white,,,,,LLE,PL!-pb1-200-LLE,,,,,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/PBLL/PL!-pb1-200-LLE.png
絢瀬絵里&西木野真姫&矢澤にこ,プレミアムブースター ラブライブ！,エネルギー,ラブライブ！,BiBi,,,,,LLE,PL!-pb1-300-LLE,,,,,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/PBLL/PL!-pb1-300-LLE.png
μ's,プレミアムブースター ラブライブ！,エネルギー,ラブライブ！,,,,,,LLE,PL!-pb1-400-LLE,,,,,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/PBLL/PL!-pb1-400-LLE.png
μ's,プレミアムブースター ラブライブ！,エネルギー,ラブライブ！,,,,,,LLE,PL!-pb1-500-LLE,,,,,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/PBLL/PL!-pb1-500-LLE.png
μ's,プレミアムブースター ラブライブ！,エネルギー,ラブライブ！,,,,,,LLE,PL!-pb1-600-LLE,,,,,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/PBLL/PL!-pb1-600-LLE.png
高坂穂乃果,プレミアムブースター ラブライブ！,メンバー,ラブライブ！,Printemps,2,yellow:1,yellow,1,N,PL!-pb1-019-N,,,,<起動> このメンバーをステージから控え室に置く：自分の控え室からメンバーカードを1枚手札に加える。,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/PBLL/PL!-pb1-019-N.png
絢瀬絵里,プレミアムブースター ラブライブ！,メンバー,ラブライブ！,BiBi,4,purple:2,purple,1,N,PL!-pb1-020-N,,,,,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/PBLL/PL!-pb1-020-N.png
南ことり,プレミアムブースター ラブライブ！,メンバー,ラブライブ！,Printemps,5,"yellow:2,purple:1",,1,N,PL!-pb1-021-N,,,,,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/PBLL/PL!-pb1-021-N.png
園田海未,プレミアムブースター ラブライブ！,メンバー,ラブライブ！,lily white,5,"pink:2,yellow:1",,1,N,PL!-pb1-022-N,,,,,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/PBLL/PL!-pb1-022-N.png
星空 凛,プレミアムブースター ラブライブ！,メンバー,ラブライブ！,lily white,4,pink:2,pink,1,N,PL!-pb1-023-N,,,,,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/PBLL/PL!-pb1-023-N.png
西木野真姫,プレミアムブースター ラブライブ！,メンバー,ラブライブ！,BiBi,2,purple:1,purple,1,N,PL!-pb1-024-N,,,,<起動> このメンバーをステージから控え室に置く：自分の控え室からライブカードを1枚手札に加える。,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/PBLL/PL!-pb1-024-N.png
東條 希,プレミアムブースター ラブライブ！,メンバー,ラブライブ！,lily white,2,pink:1,pink,1,N,PL!-pb1-025-N,,,,<起動> このメンバーをステージから控え室に置く：自分の控え室からメンバーカードを1枚手札に加える。,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/PBLL/PL!-pb1-025-N.png
小泉花陽,プレミアムブースター ラブライブ！,メンバー,ラブライブ！,Printemps,4,yellow:2,yellow,1,N,PL!-pb1-026-N,,,,,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/PBLL/PL!-pb1-026-N.png
矢澤にこ,プレミアムブースター ラブライブ！,メンバー,ラブライブ！,BiBi,5,"pink:1,purple:2",,1,N,PL!-pb1-027-N,,,,,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/PBLL/PL!-pb1-027-N.png
高坂穂乃果,プレミアムブースター ラブライブ！,メンバー,ラブライブ！,Printemps,13,"pink:2,yellow:3,purple:1",yellow,3,P+,PL!-pb1-001-P＋,,,,<起動> <センター> <ターン1回> このメンバーをウェイトにし、手札を1枚控え室に置く：ライブカードかコスト10以上のメンバーカードのどちらか1つを選ぶ。選んだカードが公開されるまで、自分のデッキの一番上からカードを１枚ずつ公開する。そのカードを手札に加え、これにより公開されたほかのすべてのカードを控え室に置く。,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/PBLL/PL!-pb1-001-P2.png
絢瀬絵里,プレミアムブースター ラブライブ！,メンバー,ラブライブ！,BiBi,13,"pink:1,yellow:2,purple:2",purple,3,P+,PL!-pb1-002-P＋,,,,<登場> / <ライブ開始時> このメンバーをウェイトにしてもよい：自分のステージにいるメンバーが『BiBi』のみの場合、相手のステージにいる元々持つ <ブレード> の数が3つ以下のメンバー1人をウェイトにする。 <常時> 相手のステージにいるウェイト状態のメンバー1人につき、 purple を得る。,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/PBLL/PL!-pb1-002-P2.png
南ことり,プレミアムブースター ラブライブ！,メンバー,ラブライブ！,Printemps,13,"pink:2,yellow:2,purple:1",yellow,3,P+,PL!-pb1-003-P＋,,,,<登場> このメンバーをウェイトにしてもよい：自分のステージにいる『Printemps』のメンバー1人につき、エネルギーを1枚アクティブにする。,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/PBLL/PL!-pb1-003-P2.png
園田海未,プレミアムブースター ラブライブ！,メンバー,ラブライブ！,lily white,15,"pink:3,yellow:1,purple:2",pink,4,P+,PL!-pb1-004-P＋,,,,<登場> <センター> 自分の成功ライブカード置き場に <スコア> を持つ『μ's』のカードが1枚ある場合、ライブ終了時まで、「 <常時> ライブの合計スコアを＋１する。」を得る。2枚以上ある場合、代わりに「 <常時> ライブの合計スコアを＋２する。」を得る。（この能力はセンターエリアに登場した場合のみ発動する。）,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/PBLL/PL!-pb1-004-P2.png
星空 凛,プレミアムブースター ラブライブ！,メンバー,ラブライブ！,lily white,2,pink:1,pink,1,P+,PL!-pb1-005-P＋,,,,<登場> 自分の成功ライブカード置き場にカードがある場合、カードを1枚引く。,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/PBLL/PL!-pb1-005-P2.png
西木野真姫,プレミアムブースター ラブライブ！,メンバー,ラブライブ！,BiBi,11,"yellow:2,purple:3",purple,2,P+,PL!-pb1-006-P＋,,,,<登場> 自分の控え室から『μ's』のライブカードを1枚までデッキの一番上に置く。その後、相手のステージにウェイト状態のメンバーがいる場合、カードを1枚引く。,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/PBLL/PL!-pb1-006-P2.png
東條 希,プレミアムブースター ラブライブ！,メンバー,ラブライブ！,lily white,13,"pink:3,yellow:1,purple:2",,3,P+,PL!-pb1-007-P＋,,,,<起動> <ターン1回> 手札を3枚控え室に置く：自分のステージにほかの『lily white』のメンバーがいる場合、自分の控え室から『μ's』のライブカードを1枚手札に加える。この能力を起動するためのコストは、自分の成功ライブカード置き場にあるカード1枚につき、控え室に置く手札の数が1枚減る。,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/PBLL/PL!-pb1-007-P2.png
小泉花陽,プレミアムブースター ラブライブ！,メンバー,ラブライブ！,Printemps,11,"pink:1,yellow:3,purple:1",,3,P+,PL!-pb1-008-P＋,,,,<登場> メンバーを3人までウェイトにしてもよい：これによりウェイト状態にしたメンバー1人につき、カードを1枚引く。,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/PBLL/PL!-pb1-008-P2.png
矢澤にこ,プレミアムブースター ラブライブ！,メンバー,ラブライブ！,BiBi,4,"yellow:1,purple:1",,1,P+,PL!-pb1-009-P＋,,,,<登場> 相手のステージにいる元々持つ <ブレード> の数が1つ以下のメンバー1人をウェイトにする。 <登場> このターン、自分と相手のステージにいるメンバーは、効果によってはアクティブにならない。,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/PBLL/PL!-pb1-009-P2.png
高坂穂乃果,プレミアムブースター ラブライブ！,メンバー,ラブライブ！,Printemps,11,"pink:2,yellow:3",,3,P+,PL!-pb1-010-P＋,,,,<ライブ開始時> 手札を1枚控え室に置いてもよい：ライブ終了時まで、自分のステージにいるほかのメンバーは <ブレード> を得る。,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/PBLL/PL!-pb1-010-P2.png
絢瀬絵里,プレミアムブースター ラブライブ！,メンバー,ラブライブ！,BiBi,2,purple:1,purple,1,P+,PL!-pb1-011-P＋,,,,<登場> 自分のステージに名前の異なる『BiBi』のメンバーが2人以上いる場合、相手のステージにいるコスト4以下のメンバー1人をウェイトにする。,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/PBLL/PL!-pb1-011-P2.png
南ことり,プレミアムブースター ラブライブ！,メンバー,ラブライブ！,Printemps,2,yellow:1,,1,P+,PL!-pb1-012-P＋,,,,<登場> 自分のステージにいる『Printemps』のメンバーを1人までアクティブにする。,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/PBLL/PL!-pb1-012-P2.png
園田海未,プレミアムブースター ラブライブ！,メンバー,ラブライブ！,lily white,9,"pink:3,purple:1",,2,P+,PL!-pb1-013-P＋,,,,<起動> <ターン1回> <E> <E> ：自分の手札を、相手は見ないで1枚選び公開する。これにより公開されたカードがライブカードの場合、ライブ終了時まで、このメンバーは「 <常時> ライブの合計スコアを＋１する。」を得る。,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/PBLL/PL!-pb1-013-P2.png
