card_name,product,card_type,series,unit,cost,base_heart,blade_heart,blade,rarity,card_no,required_heart,special_heart,score,text_card,image
元気全開DAY！DAY！DAY！,プレミアムブースター ラブライブ！サンシャイン!!,ライブ,ラブライブ！サンシャイン!!,CYaRon！,,,all,,L,PL!S-pb1-019-L,"red:4,grey:2",,3,<ライブ開始時> 自分のステージにいる『Aqours』のメンバーが持つハートに、 red が合計6個以上ある場合、このカードの <ライブ成功時> 能力を無効にする。 <ライブ成功時> 相手は、エネルギーデッキからエネルギーカードを1枚ウェイト状態で置く。,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/PBLS/PL!S-pb1-019-L.png
トリコリコPLEASE!!,プレミアムブースター ラブライブ！サンシャイン!!,ライブ,ラブライブ！サンシャイン!!,AZALEA,,,green,,L,PL!S-pb1-020-L,"green:8,grey:6",draw,6,<ライブ開始時> 自分のステージにいる『Aqours』のメンバーが持つハートに、 green が合計10個以上ある場合、このカードのスコアを＋２する。,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/PBLS/PL!S-pb1-020-L.png
Strawberry Trapper,プレミアムブースター ラブライブ！サンシャイン!!,ライブ,ラブライブ！サンシャイン!!,Guilty Kiss,,,,,L,PL!S-pb1-021-L,"blue:2,grey:2",Score+1,1,<ライブ成功時> 自分のステージにいる『Aqours』のメンバーが持つハートに、 blue が合計4個以上あり、このターン、相手が余剰のハートを持たずにライブを成功させていた場合、このカードのスコアを＋２する。,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/PBLS/PL!S-pb1-021-L.png
Next SPARKLING!!,プレミアムブースター ラブライブ！サンシャイン!!,ライブ,ラブライブ！サンシャイン!!,,,,all,,L,PL!S-pb1-023-L,"red:6,green:6,blue:6,grey:3",,9,,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/PBLS/PL!S-pb1-023-L.png
僕らの走ってきた道は・・・,プレミアムブースター ラブライブ！サンシャイン!!,ライブ,ラブライブ！サンシャイン!!,,,,all,,L,PL!S-pb1-024-L,"blue:4,grey:3",,3,<ライブ成功時> カードを2枚引き、手札を2枚控え室に置く。,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/PBLS/PL!S-pb1-024-L.png
逃走迷走メビウスループ,プレミアムブースター ラブライブ！サンシャイン!!,ライブ,ラブライブ！サンシャイン!!,,,,all,,L,PL!S-pb1-022-L,"green:3,grey:3",,2,<ライブ成功時> このターン、ライブに勝利するプレイヤーを決定するとき、自分と相手のライブの合計スコアが同じ場合、ライブ終了時まで、自分と相手は成功ライブカード置き場にカードを置くことができない。,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/PBLS/PL!S-pb1-022-L.png
逃走迷走メビウスループ,プレミアムブースター ラブライブ！サンシャイン!!,ライブ,ラブライブ！サンシャイン!!,,,,all,,L+,PL!S-pb1-022-L＋,"green:3,grey:3",,2,<ライブ成功時> このターン、ライブに勝利するプレイヤーを決定するとき、自分と相手のライブの合計スコアが同じ場合、ライブ終了時まで、自分と相手は成功ライブカード置き場にカードを置くことができない。,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/PBLS/PL!S-pb1-022-L2.png
Next SPARKLING!!,プレミアムブースター ラブライブ！サンシャイン!!,ライブ,ラブライブ！サンシャイン!!,,,,all,,L+,PL!S-pb1-023-L＋,"red:6,green:6,blue:6,grey:3",,9,,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/PBLS/PL!S-pb1-023-L2.png
高海千歌,プレミアムブースター ラブライブ！サンシャイン!!,エネルギー,ラブライブ！サンシャイン!!,CYaRon！,,,,,LLE,PL!S-pb1-064-LLE,,,,,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/PBLS/PL!S-pb1-064-LLE.png
桜内梨子,プレミアムブースター ラブライブ！サンシャイン!!,エネルギー,ラブライブ！サンシャイン!!,Guilty Kiss,,,,,LLE,PL!S-pb1-065-LLE,,,,,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/PBLS/PL!S-pb1-065-LLE.png
