card_name,product,card_type,series,unit,cost,base_heart,blade_heart,blade,rarity,card_no,required_heart,special_heart,score,text_card,image
Cara Tesoro,プレミアムブースター ラブライブ！虹ヶ咲学園スクールアイドル同好会,ライブ,ラブライブ！虹ヶ咲学園スクールアイドル同好会,,,,green,,L,PL!N-pb1-037-L,"green:6,grey:6",ドロー,5,<ライブ開始時> このターン、自分の『虹ヶ咲』のカードの効果によってウェイト状態の自分のエネルギーをアクティブにしていた場合、このカードのスコアを＋１する。さらに、自分の『虹ヶ咲』のカードの効果によって自分のステージにいるウェイト状態のメンバーもアクティブにしていた場合、代わりにスコアを＋２する。,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/PBnj/PL!N-pb1-037-L.png
Stellar Stream,プレミアムブースター ラブライブ！虹ヶ咲学園スクールアイドル同好会,ライブ,ラブライブ！虹ヶ咲学園スクールアイドル同好会,,,,pink,,L,PL!N-pb1-039-L,"pink:4,purple:4,grey:6",ドロー,5,<ライブ開始時> 自分の成功ライブカード置き場かライブ中のライブカードの中に、必要ハートに含まれる pink が3の『虹ヶ咲』のライブカードがある場合、ライブ終了時まで、自分のステージにいる purple を持つ『虹ヶ咲』のメンバー1人は purple purple purple purple を得る。,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/PBnj/PL!N-pb1-039-L.png
PHOENIX,プレミアムブースター ラブライブ！虹ヶ咲学園スクールアイドル同好会,ライブ,ラブライブ！虹ヶ咲学園スクールアイドル同好会,,,,all,,L,PL!N-pb1-038-L,"pink:3,red:1,purple:1,grey:2",,3,<ライブ開始時> 自分の成功ライブカード置き場かライブ中のライブカードの中に、必要ハートに含まれる pink が4の『虹ヶ咲』のライブカードがある場合、このカードのスコアを＋１する。,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/PBnj/PL!N-pb1-038-L.png
どこにいても君は君,プレミアムブースター ラブライブ！虹ヶ咲学園スクールアイドル同好会,ライブ,ラブライブ！虹ヶ咲学園スクールアイドル同好会,,,,,,L,PL!N-pb1-040-L,"yellow:1,blue:1,grey:1",スコア,1,,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/PBnj/PL!N-pb1-040-L.png
PASTEL,プレミアムブースター ラブライブ！虹ヶ咲学園スクールアイドル同好会,ライブ,ラブライブ！虹ヶ咲学園スクールアイドル同好会,QU4RTZ,,,all,,L,PL!N-pb1-041-L,"yellow:1,green:1,blue:1,purple:1,grey:5",,4,,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/PBnj/PL!N-pb1-041-L.png
Eternalize Love!!,プレミアムブースター ラブライブ！虹ヶ咲学園スクールアイドル同好会,ライブ,ラブライブ！虹ヶ咲学園スクールアイドル同好会,,,,all,,L,PL!N-pb1-042-L,grey:12,,4,<ライブ開始時> 自分のステージに同じ名前の『虹ヶ咲』のメンバーが2人以上いる場合、このカードを成功させるための必要ハートを grey grey grey 減らす。,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/PBnj/PL!N-pb1-042-L.png
Blue!,プレミアムブースター ラブライブ！虹ヶ咲学園スクールアイドル同好会,ライブ,ラブライブ！虹ヶ咲学園スクールアイドル同好会,A・ZU・NA,,,all,,L+,PL!N-bp4-032-L＋,"pink:1,red:1,blue:1,grey:4",,3,,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/PBnj/PL!N-bp4-032-L2.png
PASTEL,プレミアムブースター ラブライブ！虹ヶ咲学園スクールアイドル同好会,ライブ,ラブライブ！虹ヶ咲学園スクールアイドル同好会,QU4RTZ,,,all,,L+,PL!N-pb1-041-L＋,"yellow:1,green:1,blue:1,purple:1,grey:5",,4,,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/PBnj/PL!N-pb1-041-L2.png
虹ヶ咲学園スクールアイドル同好会,プレミアムブースター ラブライブ！虹ヶ咲学園スクールアイドル同好会,エネルギー,ラブライブ！虹ヶ咲学園スクールアイドル同好会,,,,,,LLE,PL!N-pb1-100-LLE,,,,,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/PBnj/PL!N-pb1-100-LLE.png
桜坂しずく＆ミア・テイラー＆上原歩夢＆天王寺璃奈＆中須かすみ＆宮下 愛,プレミアムブースター ラブライブ！虹ヶ咲学園スクールアイドル同好会,エネルギー,ラブライブ！虹ヶ咲学園スクールアイドル同好会,,,,,,LLE,PL!N-pb1-200-LLE,,,,,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/PBnj/PL!N-pb1-200-LLE.png
朝香果林＆鐘 嵐珠＆エマ・ヴェルデ＆近江彼方＆三船栞子＆優木せつ菜,プレミアムブースター ラブライブ！虹ヶ咲学園スクールアイドル同好会,エネルギー,ラブライブ！虹ヶ咲学園スクールアイドル同好会,,,,,,LLE,PL!N-pb1-300-LLE,,,,,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/PBnj/PL!N-pb1-300-LLE.png
