card_name,product,card_type,series,unit,cost,base_heart,blade_heart,blade,rarity,card_no,required_heart,special_heart,score,text_card,image
澁谷かのん,プレミアムブースター ラブライブ！スーパースター!!,メンバー,ラブライブ！スーパースター!!,CatChu!,11,"red:4,yellow:1,purple:1",red,4,P+,PL!SP-pb1-001-P＋,,,,<ライブ開始時> <E> <E> 支払わないかぎり、自分の手札を2枚控え室に置く。 <ライブ成功時> <E> <E> <E> <E> <E> <E> 支払ってもよい：ライブの合計スコアを＋１する。,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/PBSP/PL!SP-pb1_001-P2.png
唐 可可,プレミアムブースター ラブライブ！スーパースター!!,メンバー,ラブライブ！スーパースター!!,KALEIDOSCORE,15,"red:1,yellow:1,purple:4",purple,5,R,PL!SP-pb1-002-R,,,,<常時> 自分のエネルギーが12枚以上ある場合、ライブの合計スコアを＋１する。,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/PBSP/PL!SP-pb1_002-R.png
Starlight Prologue,プレミアムブースター ラブライブ！スーパースター!!,ライブ,ラブライブ！スーパースター!!,,,,all,,L+,PL!SP-bp1-025-L＋,"yellow:1,purple:1,grey:3",,2,,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/PBSP/PL!SP-bp1_025-L2.png
澁谷かのん,プレミアムブースター ラブライブ！スーパースター!!,メンバー,ラブライブ！スーパースター!!,CatChu!,11,"red:4,yellow:1,purple:1",red,4,R,PL!SP-pb1-001-R,,,,<ライブ開始時> <E> <E> 支払わないかぎり、自分の手札を2枚控え室に置く。 <ライブ成功時> <E> <E> <E> <E> <E> <E> 支払ってもよい：ライブの合計スコアを＋１する。,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/PBSP/PL!SP-pb1_001-R.png
唐 可可,プレミアムブースター ラブライブ！スーパースター!!,メンバー,ラブライブ！スーパースター!!,KALEIDOSCORE,15,"red:1,yellow:1,purple:4",purple,5,P+,PL!SP-pb1-002-P＋,,,,<常時> 自分のエネルギーが12枚以上ある場合、ライブの合計スコアを＋１する。,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/PBSP/PL!SP-pb1_002-P2.png
嵐 千砂都,プレミアムブースター ラブライブ！スーパースター!!,メンバー,ラブライブ！スーパースター!!,5yncri5e!,9,"red:2,purple:2",,2,R,PL!SP-pb1-003-R,,,,<登場> 自分のステージにいるメンバーが『5yncri5e!』のみの場合、自分と対戦相手は、センターエリアのメンバーを左サイドエリアに、左サイドエリアのメンバーを右サイドエリアに、右サイドエリアのメンバーをセンターエリアに、それぞれ移動させる。,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/PBSP/PL!SP-pb1_003-R.png
嵐 千砂都,プレミアムブースター ラブライブ！スーパースター!!,メンバー,ラブライブ！スーパースター!!,5yncri5e!,9,"red:2,purple:2",,2,P+,PL!SP-pb1-003-P＋,,,,<登場> 自分のステージにいるメンバーが『5yncri5e!』のみの場合、自分と対戦相手は、センターエリアのメンバーを左サイドエリアに、左サイドエリアのメンバーを右サイドエリアに、右サイドエリアのメンバーをセンターエリアに、それぞれ移動させる。,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/PBSP/PL!SP-pb1_003-P2.png
平安名すみれ,プレミアムブースター ラブライブ！スーパースター!!,メンバー,ラブライブ！スーパースター!!,CatChu!,9,"red:2,yellow:1,purple:1",,2,R,PL!SP-pb1-004-R,,,,<ライブ開始時> <E> <E> 支払ってもよい：自分のエネルギーデッキから、エネルギーカードを1枚ウェイト状態で置く。 <ライブ成功時> <E> <E> <E> 支払ってもよい：カードを1枚引く。,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/PBSP/PL!SP-pb1_004-R.png
平安名すみれ,プレミアムブースター ラブライブ！スーパースター!!,メンバー,ラブライブ！スーパースター!!,CatChu!,9,"red:2,yellow:1,purple:1",,2,P+,PL!SP-pb1-004-P＋,,,,<ライブ開始時> <E> <E> 支払ってもよい：自分のエネルギーデッキから、エネルギーカードを1枚ウェイト状態で置く。 <ライブ成功時> <E> <E> <E> 支払ってもよい：カードを1枚引く。,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/PBSP/PL!SP-pb1_004-P2.png
桜小路きな子,プレミアムブースター ラブライブ！スーパースター!!,メンバー,ラブライブ！スーパースター!!,5yncri5e!,9,"red:2,yellow:1,purple:1",,2,R,PL!SP-pb1-006-R,,,,<自動> このメンバーが登場か、エリアを移動するたび、ライブ終了時まで、 <ブレード> <ブレード> を得る。 (対戦相手のカードの効果でも発動する。),https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/PBSP/PL!SP-pb1_006-R.png
