card_name,card_name_eng,収録商品,card_type,series,unit,cost,base_heart,blade_heart,blade,rarity,card_no,required_heart,special_heart,score,text_card,image
Starlight Prologue,,プレミアムブースター ラブライブ！スーパースター!! DUO,ライブ,ラブライブ！スーパースター!!,,,,all,,SRL,PL!SP-bp1-025-SRL,"yellow:1,purple:1,grey:3",,2,,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/PBSP02/PL!SP-bp1-025-SRL.png
Tiny Stars,,プレミアムブースター ラブライブ！スーパースター!! DUO,ライブ,ラブライブ！スーパースター!!,,,,all,,SRL,PL!SP-bp1-024-SRL,"pink:1,blue:1,grey:6",,2,<ライブ開始時> ライブ終了時まで、自分のステージにいる「澁谷かのん」1人は blue <ブレード> を、「唐 可可」1人は pink <ブレード> を得る。 <ライブ成功時> 自分のステージに「澁谷かのん」と「唐 可可」がいる場合、カードを1枚引く。,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/PBSP02/PL!SP-bp1-024-SRL.png
Starlight Prologue,,プレミアムブースター ラブライブ！スーパースター!! DUO,ライブ,ラブライブ！スーパースター!!,,,,all,,L,PL!SP-bp1-025-SECL,"yellow:1,purple:1,grey:3",,2,,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/PBSP02/PL!SP-bp1-025-SECL.png
START!! True dreams,,プレミアムブースター ラブライブ！スーパースター!! DUO,ライブ,ラブライブ！スーパースター!!,,,,,,SRL,PL!SP-bp1-023-SRL,"red:1,yellow:1,purple:1,grey:1",スコア,1,<ライブ成功時> ライブの合計スコアが相手より高い場合、自分のエネルギーデッキから、エネルギーカードを1枚ウェイト状態で置く。,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/PBSP02/PL!SP-bp1-023-SRL.png
未来予報ハレルヤ！,,プレミアムブースター ラブライブ！スーパースター!! DUO,ライブ,ラブライブ！スーパースター!!,,,,all,,L,PL!SP-bp1-026-SECL,"red:2,yellow:2,purple:2,grey:2",,3,<ライブ開始時> 自分の、ステージと控え室に名前の異なる『Liella!』のメンバーが5人以上いる場合、このカードを使用するためのコストは red red yellow yellow purple purple になる。,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/PBSP02/PL!SP-bp1-026-SECL.png
未来予報ハレルヤ！,,プレミアムブースター ラブライブ！スーパースター!! DUO,ライブ,ラブライブ！スーパースター!!,,,,all,,SRL,PL!SP-bp1-026-SRL,"red:2,yellow:2,purple:2,grey:2",,3,<ライブ開始時> 自分の、ステージと控え室に名前の異なる『Liella!』のメンバーが5人以上いる場合、このカードを使用するためのコストは red red yellow yellow purple purple になる。,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/PBSP02/PL!SP-bp1-026-SRL.png
Go!! リスタート,,プレミアムブースター ラブライブ！スーパースター!! DUO,ライブ,ラブライブ！スーパースター!!,,,,,,SRL,PL!SP-bp2-023-SRL,"red:1,yellow:1,purple:1,grey:1",[スコア],1,<ライブ開始時> 自分の成功ライブカード置き場のカード枚数が相手より少ない場合、このカードのスコアを＋１する。,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/PBSP02/PL!SP-bp2-023-SRL.png
Sing！Shine！Smile！,,プレミアムブースター ラブライブ！スーパースター!! DUO,ライブ,ラブライブ！スーパースター!!,,,,yellow,,SRL,PL!SP-bp1-027-SRL,"red:3,yellow:3,purple:3,grey:5",ドロー,6,<ライブ開始時> 自分のエネルギーが12枚以上ある場合、このカードのスコアを＋１する。,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/PBSP02/PL!SP-bp1-027-SRL.png
Bubble Rise,,プレミアムブースター ラブライブ！スーパースター!! DUO,ライブ,ラブライブ！スーパースター!!,,,,[全ブレード],,SRL,PL!SP-bp2-025-SRL,"red:2,yellow:2,purple:2,grey:4",,4,<ライブ成功時> 自分のステージに「澁谷かのん」、「ウィーン・マルガレーテ」、「鬼塚冬毬」のうち、名前の異なるメンバーが2人以上いる場合、エールにより公開された自分のカードの中から、カードを1枚手札に加える。,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/PBSP02/PL!SP-bp2-025-SRL.png
笑顔のPromise,,プレミアムブースター ラブライブ！スーパースター!! DUO,ライブ,ラブライブ！スーパースター!!,,,,[全ブレード],,SRL,PL!SP-bp2-026-SRL,"yellow:6,grey:3",,4,,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/PBSP02/PL!SP-bp2-026-SRL.png
ビタミンSUMMER!,,プレミアムブースター ラブライブ！スーパースター!! DUO,ライブ,ラブライブ！スーパースター!!,,,,yellow,,SRL,PL!SP-bp2-024-SRL,"red:1,yellow:4,purple:1,grey:6",[ドロー],5,<ライブ成功時> 自分の手札の枚数が相手より多い場合、このカードのスコアを＋１する。,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/PBSP02/PL!SP-bp2-024-SRL.png
UNIVERSE!!,,プレミアムブースター ラブライブ！スーパースター!! DUO,ライブ,ラブライブ！スーパースター!!,,,,red,,SRL,PL!SP-bp2-027-SRL,"red:3,yellow:3,purple:3,grey:7",[ドロー],7,,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/PBSP02/PL!SP-bp2-027-SRL.png
Dazzling Game,,プレミアムブースター ラブライブ！スーパースター!! DUO,ライブ,ラブライブ！スーパースター!!,,,,,,SRL,PL!SP-bp4-023-SRL,"purple:11,grey:8",スコア,8,<ライブ開始時> ライブ終了時まで、自分のステージにいる、「澁谷かのん」「ウィーン・マルガレーテ」「鬼塚冬毬」のうちのメンバー1人と、これにより選んだメンバー以外の『Liella!』のメンバー1人は、 <ブレード> を得る。 <ライブ開始時> ライブ終了時まで、エールによって公開される自分のカードが持つ[桃ブレード]、[赤ブレード]、[黄ブレード]、[緑ブレード]、[青ブレード]、 <ALLブレード> は、すべて[紫ブレード]になる。,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/PBSP02/PL!SP-bp4-023-SRL.png
ノンフィクション!!,,プレミアムブースター ラブライブ！スーパースター!! DUO,ライブ,ラブライブ！スーパースター!!,,,,yellow,,L,PL!SP-bp4-024-SECL,"red:3,yellow:5,grey:7",ドロー,6,<ライブ開始時> 自分のセンターエリアにいる『Liella!』のメンバーのコストが、相手のセンターエリアにいるメンバーより高い場合、このカードのスコアを＋１する。 <ライブ開始時> 自分のステージの左サイドエリアにいる『Liella!』のメンバーが red を3つ以上持つ場合、そのメンバーは、ライブ終了時まで、 <ブレード> <ブレード> を得る。,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/PBSP02/PL!SP-bp4-024-SECL.png
ノンフィクション!!,,プレミアムブースター ラブライブ！スーパースター!! DUO,ライブ,ラブライブ！スーパースター!!,,,,yellow,,SRL,PL!SP-bp4-024-SRL,"red:3,yellow:5,grey:7",ドロー,6,<ライブ開始時> 自分のセンターエリアにいる『Liella!』のメンバーのコストが、相手のセンターエリアにいるメンバーより高い場合、このカードのスコアを＋１する。 <ライブ開始時> 自分のステージの左サイドエリアにいる『Liella!』のメンバーが red を3つ以上持つ場合、そのメンバーは、ライブ終了時まで、 <ブレード> <ブレード> を得る。,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/PBSP02/PL!SP-bp4-024-SRL.png
