card_name,product,card_type,series,unit,cost,base_heart,blade_heart,blade,rarity,card_no,required_heart,special_heart,score,text_card,image
澁谷かのん,スタートデッキ ラブライブ！スーパースター!!,メンバー,ラブライブ！スーパースター!!,CatChu!,11,"red:2,purple:2",purple,3,SD,PL!SP-sd1-001-SD,,,,<登場> 自分のエネルギー6枚につき、カードを1枚引く。,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/SPSD01/PL!SP-sd1-001-SD.png
平安名すみれ,スタートデッキ ラブライブ！スーパースター!!,メンバー,ラブライブ！スーパースター!!,CatChu!,11,"red:2,purple:2",,2,SD,PL!SP-sd1-004-SD,,,,<登場> ライブ終了時まで、「 <常時> ライブの合計スコアを＋１する。」を得る。,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/SPSD01/PL!SP-sd1-004-SD.png
嵐 千砂都,スタートデッキ ラブライブ！スーパースター!!,メンバー,ラブライブ！スーパースター!!,5yncri5e!,15,"red:3,purple:3",red,3,SD,PL!SP-sd1-003-SD,,,,<ライブ開始時> 手札を2枚控え室に置いてもよい：ライブ終了時まで、 <ブレード> <ブレード> <ブレード> <ブレード> <ブレード> を得る。,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/SPSD01/PL!SP-sd1-003-SD.png
唐 可可,スタートデッキ ラブライブ！スーパースター!!,メンバー,ラブライブ！スーパースター!!,KALEIDOSCORE,11,"red:1,purple:2",,,SD,PL!SP-sd1-002-SD,,,,<登場> 手札からコスト4以下の『Liella!』のメンバーカードを1枚ステージに登場させてもよい。 （この効果で既にメンバーがいるエリアにも登場できる。ただし、このターンにステージに登場したメンバーがいるエリアには登場できない。）,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/SPSD01/PL!SP-sd1-002-SD.png
葉月 恋,スタートデッキ ラブライブ！スーパースター!!,メンバー,ラブライブ！スーパースター!!,KALEIDOSCORE,9,"red:2,purple:2",,2,SD,PL!SP-sd1-005-SD,,,,<起動> <ターン1回> <E> <E> <E> ：自分の控え室からライブカードを1枚手札に加える。,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/SPSD01/PL!SP-sd1-005-SD.png
桜小路きな子,スタートデッキ ラブライブ！スーパースター!!,メンバー,ラブライブ！スーパースター!!,5yncri5e!,2,purple:1,purple,1,SD,PL!SP-sd1-006-SD,,,,<起動> このメンバーをステージから控え室に置く：自分の控え室からライブカードを1枚手札に加える。,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/SPSD01/PL!SP-sd1-006-SD.png
米女メイ,スタートデッキ ラブライブ！スーパースター!!,メンバー,ラブライブ！スーパースター!!,CatChu!,7,"red:1,purple:2",,1,SD,PL!SP-sd1-007-SD,,,,<登場> <E> <E> 支払ってもよい：自分の控え室から『Liella!』のメンバーカードを1枚手札に加える。,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/SPSD01/PL!SP-sd1-007-SD.png
若菜四季,スタートデッキ ラブライブ！スーパースター!!,メンバー,ラブライブ！スーパースター!!,5yncri5e!,4,purple:2,,1,SD,PL!SP-sd1-008-SD,,,,<登場> <E> 支払ってもよい：自分のデッキの上からカードを3枚見る。その中から1枚を手札に加え、残りを控え室に置く。,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/SPSD01/PL!SP-sd1-008-SD.png
鬼塚夏美,スタートデッキ ラブライブ！スーパースター!!,メンバー,ラブライブ！スーパースター!!,5yncri5e!,13,"red:2,purple:3",purple,4,SD,PL!SP-sd1-009-SD,,,,<登場> <E> 支払ってもよい：自分のエネルギーが9枚以上ある場合、自分のデッキの上からカードを5枚見る。その中から1枚を手札に加え、残りを控え室に置く。,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/SPSD01/PL!SP-sd1-009-SD.png
ウィーン・マルガレーテ,スタートデッキ ラブライブ！スーパースター!!,メンバー,ラブライブ！スーパースター!!,KALEIDOSCORE,13,"red:3,purple:3",red,4,SD,PL!SP-sd1-010-SD,,,,,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/SPSD01/PL!SP-sd1-010-SD.png
鬼塚冬毬,スタートデッキ ラブライブ！スーパースター!!,メンバー,ラブライブ！スーパースター!!,5yncri5e!,7,"red:2,purple:1",,1,SD,PL!SP-sd1-011-SD,,,,<起動> <ターン1回> <E> <E> ：自分のエネルギーデッキから、エネルギーカードを1枚ウェイト状態で置く。,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/SPSD01/PL!SP-sd1-011-SD.png
澁谷かのん,スタートデッキ ラブライブ！スーパースター!!,メンバー,ラブライブ！スーパースター!!,CatChu!,9,"red:2,purple:2",,3,SD,PL!SP-sd1-012-SD,,,,,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/SPSD01/PL!SP-sd1-012-SD.png
唐 可可,スタートデッキ ラブライブ！スーパースター!!,メンバー,ラブライブ！スーパースター!!,KALEIDOSCORE,4,purple:2,purple,1,SD,PL!SP-sd1-013-SD,,,,,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/SPSD01/PL!SP-sd1-013-SD.png
嵐 千砂都,スタートデッキ ラブライブ！スーパースター!!,メンバー,ラブライブ！スーパースター!!,5yncri5e!,4,purple:1,,,SD,PL!SP-sd1-014-SD,,,,<登場> 手札を1枚控え室に置いてもよい：自分のエネルギーデッキから、エネルギーカードを1枚ウェイト状態で置く。,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/SPSD01/PL!SP-sd1-014-SD.png
平安名すみれ,スタートデッキ ラブライブ！スーパースター!!,メンバー,ラブライブ！スーパースター!!,CatChu!,4,red:2,red,1,SD,PL!SP-sd1-015-SD,,,,,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/SPSD01/PL!SP-sd1-015-SD.png
葉月 恋,スタートデッキ ラブライブ！スーパースター!!,メンバー,ラブライブ！スーパースター!!,KALEIDOSCORE,4,red:1,,,SD,PL!SP-sd1-016-SD,,,,<登場> 手札を1枚控え室に置いてもよい：自分のエネルギーデッキから、エネルギーカードを1枚ウェイト状態で置く。,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/SPSD01/PL!SP-sd1-016-SD.png
桜小路きな子,スタートデッキ ラブライブ！スーパースター!!,メンバー,ラブライブ！スーパースター!!,5yncri5e!,4,red:2,,1,SD,PL!SP-sd1-017-SD,,,,<登場> <E> 支払ってもよい：自分のデッキの上からカードを3枚見る。その中から1枚を手札に加え、残りを控え室に置く。,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/SPSD01/PL!SP-sd1-017-SD.png
米女メイ,スタートデッキ ラブライブ！スーパースター!!,メンバー,ラブライブ！スーパースター!!,CatChu!,4,"red:1,purple:1",red,1,SD,PL!SP-sd1-018-SD,,,,,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/SPSD01/PL!SP-sd1-018-SD.png
鬼塚夏美,スタートデッキ ラブライブ！スーパースター!!,メンバー,ラブライブ！スーパースター!!,5yncri5e!,2,red:1,red,2,SD,PL!SP-sd1-020-SD,,,,,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/SPSD01/PL!SP-sd1-020-SD.png
若菜四季,スタートデッキ ラブライブ！スーパースター!!,メンバー,ラブライブ！スーパースター!!,5yncri5e!,2,purple:1,purple,2,SD,PL!SP-sd1-019-SD,,,,,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/SPSD01/PL!SP-sd1-019-SD.png
ウィーン・マルガレーテ,スタートデッキ ラブライブ！スーパースター!!,メンバー,ラブライブ！スーパースター!!,KALEIDOSCORE,9,"red:2,purple:2",,3,SD,PL!SP-sd1-021-SD,,,,,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/SPSD01/PL!SP-sd1-021-SD.png
鬼塚冬毬,スタートデッキ ラブライブ！スーパースター!!,メンバー,ラブライブ！スーパースター!!,5yncri5e!,9,"red:2,purple:2",,3,SD,PL!SP-sd1-022-SD,,,,,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/SPSD01/PL!SP-sd1-022-SD.png
WE WILL!!,スタートデッキ ラブライブ！スーパースター!!,ライブ,ラブライブ！スーパースター!!,,,,,,SD,PL!SP-sd1-023-SD,"red:1,purple:1,grey:1",Score+1,1,(エールで出た <スコア> 1つにつき、成功したライブのスコアの合計に1を加算する。),https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/SPSD01/PL!SP-sd1-023-SD.png
シェキラ☆☆☆,スタートデッキ ラブライブ！スーパースター!!,ライブ,ラブライブ！スーパースター!!,,,,all,,SD,PL!SP-sd1-024-SD,"red:1,purple:1,grey:3",,2,(必要ハートを確認する時、エールで出た <ALLブレード> は任意の色のハートとして扱う。),https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/SPSD01/PL!SP-sd1-024-SD.png
未来は風のように,スタートデッキ ラブライブ！スーパースター!!,ライブ,ラブライブ！スーパースター!!,,,,all,,SD,PL!SP-sd1-025-SD,"red:2,purple:2,grey:3",,3,(必要ハートを確認する時、エールで出た <ALLブレード> は任意の色のハートとして扱う。),https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/SPSD01/PL!SP-sd1-025-SD.png
私のSymphony 〜澁谷かのんVer.〜,スタートデッキ ラブライブ！スーパースター!!,ライブ,ラブライブ！スーパースター!!,,,,red,,SD,PL!SP-sd1-026-SD,"red:4,purple:4,grey:3",draw,4,<ライブ開始時> 自分のエネルギーが9枚以上ある場合、このカードのスコアを＋１する。 (エールをすべて行った後、エールで出た <ドロー> 1つにつき、カードを1枚引く。),https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/SPSD01/PL!SP-sd1-026-SD.png
澁谷かのん,スタートデッキ ラブライブ！スーパースター!!,エネルギー,ラブライブ！スーパースター!!,CatChu!,,,,,P,PL!SP-sd1-027-P,,,,,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/SPSD01/PL!SP-sd1-027-P.png
唐 可可,スタートデッキ ラブライブ！スーパースター!!,エネルギー,ラブライブ！スーパースター!!,KALEIDOSCORE,,,,,P,PL!SP-sd1-028-P,,,,,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/SPSD01/PL!SP-sd1-028-P.png
嵐 千砂都,スタートデッキ ラブライブ！スーパースター!!,エネルギー,ラブライブ！スーパースター!!,5yncri5e!,,,,,P,PL!SP-sd1-029-P,,,,,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/SPSD01/PL!SP-sd1-029-P.png
