card_name,product,card_type,series,unit,cost,base_heart,blade_heart,blade,rarity,card_no,required_heart,special_heart,score,text_card,image
朝香果林,スタートデッキ ラブライブ！虹ヶ咲学園スクールアイドル同好会,メンバー,ラブライブ！虹ヶ咲学園スクールアイドル同好会,DiverDiva,11,"pink:1,red:1,blue:2",blue,3,SD,PL!N-sd1-004-SD,,,,<ライブ開始時> 手札を1枚控え室に置いてもよい：ライブ終了時まで、 <ブレード> <ブレード> を得る。,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/NSD01/PL!N-sd1-004-SD.png
中須かすみ,スタートデッキ ラブライブ！虹ヶ咲学園スクールアイドル同好会,メンバー,ラブライブ！虹ヶ咲学園スクールアイドル同好会,QU4RTZ,9,"yellow:2,green:1",,3,SD,PL!N-sd1-002-SD,,,,<登場> 手札を1枚控え室に置いてもよい：自分のデッキの上からカードを3枚見る。その中から1枚を手札に加え、残りを控え室に置く。,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/NSD01/PL!N-sd1-002-SD.png
桜坂しずく,スタートデッキ ラブライブ！虹ヶ咲学園スクールアイドル同好会,メンバー,ラブライブ！虹ヶ咲学園スクールアイドル同好会,A・ZU・NA,9,"pink:1,blue:2",,3,SD,PL!N-sd1-003-SD,,,,<登場> 手札を1枚控え室に置いてもよい：自分のデッキの上からカードを3枚見る。その中から1枚を手札に加え、残りを控え室に置く。,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/NSD01/PL!N-sd1-003-SD.png
上原歩夢,スタートデッキ ラブライブ！虹ヶ咲学園スクールアイドル同好会,メンバー,ラブライブ！虹ヶ咲学園スクールアイドル同好会,A・ZU・NA,13,"pink:3,red:1,green:1",pink,4,SD,PL!N-sd1-001-SD,,,,<登場> 自分のデッキの上からカードを5枚見る。その中から『虹ヶ咲』のライブカードを1枚まで公開して手札に加えてもよい。残りを控え室に置く。 <ライブ開始時> <E> 支払ってもよい：ライブ終了時まで、自分のステージにいるほかの『虹ヶ咲』のメンバーは <ブレード> を得る。,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/NSD01/PL!N-sd1-001-SD.png
宮下 愛,スタートデッキ ラブライブ！虹ヶ咲学園スクールアイドル同好会,メンバー,ラブライブ！虹ヶ咲学園スクールアイドル同好会,DiverDiva,11,"pink:1,red:3,green:1",,3,SD,PL!N-sd1-005-SD,,,,<起動> <ターン1回> 手札を2枚控え室に置く：自分の控え室から『虹ヶ咲』のメンバーカードを1枚手札に加える。,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/NSD01/PL!N-sd1-005-SD.png
エマ・ヴェルデ,スタートデッキ ラブライブ！虹ヶ咲学園スクールアイドル同好会,メンバー,ラブライブ！虹ヶ咲学園スクールアイドル同好会,QU4RTZ,7,green:1,,1,SD,PL!N-sd1-008-SD,,,,<登場> エネルギーを2枚アクティブにする。,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/NSD01/PL!N-sd1-008-SD.png
近江彼方,スタートデッキ ラブライブ！虹ヶ咲学園スクールアイドル同好会,メンバー,ラブライブ！虹ヶ咲学園スクールアイドル同好会,QU4RTZ,2,purple:1,purple,1,SD,PL!N-sd1-006-SD,,,,<起動> このメンバーをステージから控え室に置く：自分の控え室からメンバーカードを1枚手札に加える。,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/NSD01/PL!N-sd1-006-SD.png
優木せつ菜,スタートデッキ ラブライブ！虹ヶ咲学園スクールアイドル同好会,メンバー,ラブライブ！虹ヶ咲学園スクールアイドル同好会,A・ZU・NA,13,"pink:1,red:3,green:1",red,4,SD,PL!N-sd1-007-SD,,,,<起動> <ターン1回> 手札を2枚控え室に置く：自分の控え室から『虹ヶ咲』のライブカードを1枚手札に加える。,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/NSD01/PL!N-sd1-007-SD.png
天王寺璃奈,スタートデッキ ラブライブ！虹ヶ咲学園スクールアイドル同好会,メンバー,ラブライブ！虹ヶ咲学園スクールアイドル同好会,QU4RTZ,7,"pink:1,red:1,purple:1",,1,SD,PL!N-sd1-009-SD,,,,<起動> <ターン1回> <E> <E> 手札を1枚控え室に置く：自分の控え室から『虹ヶ咲』のライブカードを1枚手札に加える。,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/NSD01/PL!N-sd1-009-SD.png
鐘 嵐珠,スタートデッキ ラブライブ！虹ヶ咲学園スクールアイドル同好会,メンバー,ラブライブ！虹ヶ咲学園スクールアイドル同好会,R3BIRTH,9,"pink:2,red:1,yellow:1",,3,SD,PL!N-sd1-012-SD,,,,,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/NSD01/PL!N-sd1-012-SD.png
三船栞子,スタートデッキ ラブライブ！虹ヶ咲学園スクールアイドル同好会,メンバー,ラブライブ！虹ヶ咲学園スクールアイドル同好会,R3BIRTH,11,"pink:1,yellow:1,green:2",,3,SD,PL!N-sd1-010-SD,,,,<登場> カードを2枚引き、手札を1枚控え室に置く。 <ライブ開始時> <E> <E> 支払ってもよい：ライブ終了時まで、 green を得る。,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/NSD01/PL!N-sd1-010-SD.png
ミア・テイラー,スタートデッキ ラブライブ！虹ヶ咲学園スクールアイドル同好会,メンバー,ラブライブ！虹ヶ咲学園スクールアイドル同好会,R3BIRTH,2,yellow:1,yellow,1,SD,PL!N-sd1-011-SD,,,,<起動> このメンバーをステージから控え室に置く：自分の控え室からライブカードを1枚手札に加える。,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/NSD01/PL!N-sd1-011-SD.png
上原歩夢,スタートデッキ ラブライブ！虹ヶ咲学園スクールアイドル同好会,メンバー,ラブライブ！虹ヶ咲学園スクールアイドル同好会,A・ZU・NA,4,pink:2,,1,SD,PL!N-sd1-013-SD,,,,<登場> カードを1枚引き、手札を1枚控え室に置く。,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/NSD01/PL!N-sd1-013-SD.png
中須かすみ,スタートデッキ ラブライブ！虹ヶ咲学園スクールアイドル同好会,メンバー,ラブライブ！虹ヶ咲学園スクールアイドル同好会,QU4RTZ,9,"pink:1,red:1,yellow:2",,3,SD,PL!N-sd1-014-SD,,,,,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/NSD01/PL!N-sd1-014-SD.png
朝香果林,スタートデッキ ラブライブ！虹ヶ咲学園スクールアイドル同好会,メンバー,ラブライブ！虹ヶ咲学園スクールアイドル同好会,DiverDiva,9,"pink:1,red:1,blue:2",,3,SD,PL!N-sd1-016-SD,,,,,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/NSD01/PL!N-sd1-016-SD.png
桜坂しずく,スタートデッキ ラブライブ！虹ヶ咲学園スクールアイドル同好会,メンバー,ラブライブ！虹ヶ咲学園スクールアイドル同好会,A・ZU・NA,4,"red:1,blue:1",blue,1,SD,PL!N-sd1-015-SD,,,,,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/NSD01/PL!N-sd1-015-SD.png
宮下 愛,スタートデッキ ラブライブ！虹ヶ咲学園スクールアイドル同好会,メンバー,ラブライブ！虹ヶ咲学園スクールアイドル同好会,DiverDiva,4,"red:1,yellow:1",red,1,SD,PL!N-sd1-017-SD,,,,,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/NSD01/PL!N-sd1-017-SD.png
近江彼方,スタートデッキ ラブライブ！虹ヶ咲学園スクールアイドル同好会,メンバー,ラブライブ！虹ヶ咲学園スクールアイドル同好会,QU4RTZ,9,"pink:1,red:1,purple:2",,3,SD,PL!N-sd1-018-SD,,,,,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/NSD01/PL!N-sd1-018-SD.png
エマ・ヴェルデ,スタートデッキ ラブライブ！虹ヶ咲学園スクールアイドル同好会,メンバー,ラブライブ！虹ヶ咲学園スクールアイドル同好会,QU4RTZ,4,"green:1,purple:1",green,1,SD,PL!N-sd1-020-SD,,,,,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/NSD01/PL!N-sd1-020-SD.png
優木せつ菜,スタートデッキ ラブライブ！虹ヶ咲学園スクールアイドル同好会,メンバー,ラブライブ！虹ヶ咲学園スクールアイドル同好会,A・ZU・NA,4,"red:1,purple:1",red,1,SD,PL!N-sd1-019-SD,,,,,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/NSD01/PL!N-sd1-019-SD.png
天王寺璃奈,スタートデッキ ラブライブ！虹ヶ咲学園スクールアイドル同好会,メンバー,ラブライブ！虹ヶ咲学園スクールアイドル同好会,QU4RTZ,4,purple:2,,1,SD,PL!N-sd1-021-SD,,,,<登場> カードを1枚引き、手札を1枚控え室に置く。,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/NSD01/PL!N-sd1-021-SD.png
三船栞子,スタートデッキ ラブライブ！虹ヶ咲学園スクールアイドル同好会,メンバー,ラブライブ！虹ヶ咲学園スクールアイドル同好会,R3BIRTH,4,green:2,,1,SD,PL!N-sd1-022-SD,,,,<登場> カードを1枚引き、手札を1枚控え室に置く。,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/NSD01/PL!N-sd1-022-SD.png
ミア・テイラー,スタートデッキ ラブライブ！虹ヶ咲学園スクールアイドル同好会,メンバー,ラブライブ！虹ヶ咲学園スクールアイドル同好会,R3BIRTH,4,"pink:1,yellow:1",yellow,1,SD,PL!N-sd1-023-SD,,,,,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/NSD01/PL!N-sd1-023-SD.png
鐘 嵐珠,スタートデッキ ラブライブ！虹ヶ咲学園スクールアイドル同好会,メンバー,ラブライブ！虹ヶ咲学園スクールアイドル同好会,R3BIRTH,4,"pink:1,green:1",pink,1,SD,PL!N-sd1-024-SD,,,,,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/NSD01/PL!N-sd1-024-SD.png
Colorful Dreams! Colorful Smiles!,スタートデッキ ラブライブ！虹ヶ咲学園スクールアイドル同好会,ライブ,ラブライブ！虹ヶ咲学園スクールアイドル同好会,,,,,,SD,PL!N-sd1-025-SD,grey:4,Score+1,1,(エールで出た <スコア> 1つにつき、成功したライブのスコアの合計に1を加算する。),https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/NSD01/PL!N-sd1-025-SD.png
夢が僕らの太陽さ,スタートデッキ ラブライブ！虹ヶ咲学園スクールアイドル同好会,ライブ,ラブライブ！虹ヶ咲学園スクールアイドル同好会,,,,all,,SD,PL!N-sd1-026-SD,"pink:1,red:1,grey:3",,2,(必要ハートを確認する時、エールで出た <ALLブレード> は任意の色のハートとして扱う。),https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/NSD01/PL!N-sd1-026-SD.png
Just Believe!!!,スタートデッキ ラブライブ！虹ヶ咲学園スクールアイドル同好会,ライブ,ラブライブ！虹ヶ咲学園スクールアイドル同好会,,,,all,,SD,PL!N-sd1-027-SD,"pink:1,red:1,green:1,grey:4",,3,(必要ハートを確認する時、エールで出た <ALLブレード> は任意の色のハートとして扱う。),https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/NSD01/PL!N-sd1-027-SD.png
Dream with You,スタートデッキ ラブライブ！虹ヶ咲学園スクールアイドル同好会,ライブ,ラブライブ！虹ヶ咲学園スクールアイドル同好会,,,,pink,,SD,PL!N-sd1-028-SD,"pink:4,grey:7",draw,4,<ライブ開始時> 自分のステージにいるメンバーが持つ <ブレード> の合計が10以上の場合、このカードのスコアを＋１する。 (エールをすべて行った後、エールで出た <ドロー> 1つにつき、カードを1枚引く。),https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/NSD01/PL!N-sd1-028-SD.png
上原歩夢,スタートデッキ ラブライブ！虹ヶ咲学園スクールアイドル同好会,エネルギー,ラブライブ！虹ヶ咲学園スクールアイドル同好会,A・ZU・NA,,,,,P,PL!N-sd1-029-P,,,,,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/NSD01/PL!N-sd1-029-P.png
中須かすみ,スタートデッキ ラブライブ！虹ヶ咲学園スクールアイドル同好会,エネルギー,ラブライブ！虹ヶ咲学園スクールアイドル同好会,QU4RTZ,,,,,P,PL!N-sd1-030-P,,,,,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/NSD01/PL!N-sd1-030-P.png
桜坂しずく,スタートデッキ ラブライブ！虹ヶ咲学園スクールアイドル同好会,エネルギー,ラブライブ！虹ヶ咲学園スクールアイドル同好会,A・ZU・NA,,,,,P,PL!N-sd1-031-P,,,,,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/NSD01/PL!N-sd1-031-P.png
朝香果林,スタートデッキ ラブライブ！虹ヶ咲学園スクールアイドル同好会,エネルギー,ラブライブ！虹ヶ咲学園スクールアイドル同好会,DiverDiva,,,,,P,PL!N-sd1-032-P,,,,,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/NSD01/PL!N-sd1-032-P.png
宮下 愛,スタートデッキ ラブライブ！虹ヶ咲学園スクールアイドル同好会,エネルギー,ラブライブ！虹ヶ咲学園スクールアイドル同好会,DiverDiva,,,,,P,PL!N-sd1-033-P,,,,,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/NSD01/PL!N-sd1-033-P.png
近江彼方,スタートデッキ ラブライブ！虹ヶ咲学園スクールアイドル同好会,エネルギー,ラブライブ！虹ヶ咲学園スクールアイドル同好会,QU4RTZ,,,,,P,PL!N-sd1-034-P,,,,,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/NSD01/PL!N-sd1-034-P.png
優木せつ菜,スタートデッキ ラブライブ！虹ヶ咲学園スクールアイドル同好会,エネルギー,ラブライブ！虹ヶ咲学園スクールアイドル同好会,A・ZU・NA,,,,,P,PL!N-sd1-035-P,,,,,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/NSD01/PL!N-sd1-035-P.png
エマ・ヴェルデ,スタートデッキ ラブライブ！虹ヶ咲学園スクールアイドル同好会,エネルギー,ラブライブ！虹ヶ咲学園スクールアイドル同好会,QU4RTZ,,,,,P,PL!N-sd1-036-P,,,,,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/NSD01/PL!N-sd1-036-P.png
