card_name,product,card_type,series,unit,cost,base_heart,blade_heart,blade,rarity,card_no,required_heart,special_heart,score,text_card,image
高坂 穂乃果,スタートデッキ ラブライブ！,メンバー,ラブライブ！,Printemps,11,"pink:1,yellow:2,purple:1",,3,SD,PL!-sd1-001-SD,,,,<登場> 自分の成功ライブカード置き場にカードが2枚以上ある場合、自分の控え室からライブカードを1枚手札に加える。 <常時> 自分の成功ライブカード置き場にあるカード1枚につき、 <ブレード> を得る。,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/PLSD01/PL!-sd1-001-SD.png
園田 海未,スタートデッキ ラブライブ！,メンバー,ラブライブ！,lily white,11,"pink:2,yellow:1,purple:1",pink,3,SD,PL!-sd1-004-SD,,,,<登場> 自分のデッキの上からカードを5枚見る。その中から『μ's』のライブカードを1枚公開して手札に加えてもよい。残りを控え室に置く。,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/PLSD01/PL!-sd1-004-SD.png
南 ことり,スタートデッキ ラブライブ！,メンバー,ラブライブ！,Printemps,13,"pink:1,yellow:2,purple:2",purple,3,SD,PL!-sd1-003-SD,,,,<登場> 自分の控え室からコスト4以下の『μ's』のメンバーカードを1枚手札に加える。 <ライブ開始時> 手札を1枚控え室に置いてもよい： pink か yellow か purple のうち、1つを選ぶ。ライブ終了時まで、選んだハートを1つ得る。,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/PLSD01/PL!-sd1-003-SD.png
絢瀬 絵里,スタートデッキ ラブライブ！,メンバー,ラブライブ！,BiBi,2,purple:1,purple,1,SD,PL!-sd1-002-SD,,,,<起動> このメンバーをステージから控え室に置く：自分の控え室からメンバーカードを1枚手札に加える。,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/PLSD01/PL!-sd1-002-SD.png
星空 凛,スタートデッキ ラブライブ！,メンバー,ラブライブ！,lily white,2,pink:1,pink,1,SD,PL!-sd1-005-SD,,,,<起動> このメンバーをステージから控え室に置く：自分の控え室からライブカードを1枚手札に加える。,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/PLSD01/PL!-sd1-005-SD.png
西木野 真姫,スタートデッキ ラブライブ！,メンバー,ラブライブ！,BiBi,9,"pink:1,yellow:1,purple:2",,2,SD,PL!-sd1-006-SD,,,,<登場> 手札のライブカードを1枚公開してもよい：自分の成功ライブカード置き場にあるカードを1枚手札に加える。そうした場合、これにより公開したカードを自分の成功ライブカード置き場に置く。,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/PLSD01/PL!-sd1-006-SD.png
東條 希,スタートデッキ ラブライブ！,メンバー,ラブライブ！,lily white,7,"pink:1,yellow:1,purple:1",,1,SD,PL!-sd1-007-SD,,,,<登場> 自分のデッキの上からカードを5枚控え室に置く。それらの中にライブカードがある場合、カードを1枚引く。,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/PLSD01/PL!-sd1-007-SD.png
小泉 花陽,スタートデッキ ラブライブ！,メンバー,ラブライブ！,Printemps,4,"pink:1,yellow:1",yellow,,SD,PL!-sd1-008-SD,,,,<起動> <ターン1回> <E> <E> ：自分のデッキの上からカードを10枚控え室に置く。,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/PLSD01/PL!-sd1-008-SD.png
高坂 穂乃果,スタートデッキ ラブライブ！,メンバー,ラブライブ！,Printemps,4,"pink:1,yellow:1",yellow,1,SD,PL!-sd1-010-SD,,,,,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/PLSD01/PL!-sd1-010-SD.png
矢澤 にこ,スタートデッキ ラブライブ！,メンバー,ラブライブ！,BiBi,15,"pink:2,yellow:2,purple:2",purple,5,SD,PL!-sd1-009-SD,,,,<ライブ開始時> 自分の控え室に『μ's』のカードが25枚以上ある場合、ライブ終了時まで、「 <常時> ライブの合計スコアを＋１する。」を得る。,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/PLSD01/PL!-sd1-009-SD.png
