card_name,card_name_eng,収録商品,card_type,series,unit,cost,base_heart,blade_heart,blade,rarity,card_no,required_heart,special_heart,score,text_card,image
嵐 千砂都,Arashi Chisato,スタートデッキ ラブライブ！スーパースター!! cheer,メンバー,ラブライブ！スーパースター!!,5yncri5e!,15,"red:3,purple:3",red,3,P,PL!SP-sd1-003-P,,,,<ライブ開始時> 手札を2枚控え室に置いてもよい：ライブ終了時まで、 <ブレード> <ブレード> <ブレード> <ブレード> <ブレード> を得る。,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/SPSD02/PL!SP-sd1-003-P.png
嵐 千砂都,Arashi Chisato,スタートデッキ ラブライブ！スーパースター!! cheer,メンバー,ラブライブ！スーパースター!!,5yncri5e!,15,"red:3,purple:3",red,3,SD2,PL!SP-sd1-003-SD2,,,,<ライブ開始時> 手札を2枚控え室に置いてもよい：ライブ終了時まで、 <ブレード> <ブレード> <ブレード> <ブレード> <ブレード> を得る。,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/SPSD02/PL!SP-sd1-003-SD2.png
鬼塚冬毬,Onitsuka Tomari,スタートデッキ ラブライブ！スーパースター!! cheer,メンバー,ラブライブ！スーパースター!!,5yncri5e!,7,"red:2,purple:1",,1,SD2,PL!SP-sd1-011-SD2,,,,<起動> <ターン1回> <E> <E> ：自分のエネルギーデッキから、エネルギーカードを1枚ウェイト状態で置く。,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/SPSD02/PL!SP-sd1-011-SD2.png
鬼塚冬毬,Onitsuka Tomari,スタートデッキ ラブライブ！スーパースター!! cheer,メンバー,ラブライブ！スーパースター!!,5yncri5e!,7,"red:2,purple:1",,1,P,PL!SP-sd1-011-P,,,,<起動> <ターン1回> <E> <E> ：自分のエネルギーデッキから、エネルギーカードを1枚ウェイト状態で置く。,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/SPSD02/PL!SP-sd1-011-P.png
若菜四季,Wakana Shiki,スタートデッキ ラブライブ！スーパースター!! cheer,メンバー,ラブライブ！スーパースター!!,5yncri5e!,2,purple:1,purple,2,SD2,PL!SP-sd1-019-SD2,,,,,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/SPSD02/PL!SP-sd1-019-SD2.png
若菜四季,Wakana Shiki,スタートデッキ ラブライブ！スーパースター!! cheer,メンバー,ラブライブ！スーパースター!!,5yncri5e!,2,purple:1,purple,2,P,PL!SP-sd1-019-P,,,,,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/SPSD02/PL!SP-sd1-019-P.png
鬼塚夏美,Onitsuka Natsumi,スタートデッキ ラブライブ！スーパースター!! cheer,メンバー,ラブライブ！スーパースター!!,5yncri5e!,2,red:1,red,2,P,PL!SP-sd1-020-P,,,,,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/SPSD02/PL!SP-sd1-020-P.png
鬼塚夏美,Onitsuka Natsumi,スタートデッキ ラブライブ！スーパースター!! cheer,メンバー,ラブライブ！スーパースター!!,5yncri5e!,2,red:1,red,2,SD2,PL!SP-sd1-020-SD2,,,,,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/SPSD02/PL!SP-sd1-020-SD2.png
シェキラ☆☆☆,,スタートデッキ ラブライブ！スーパースター!! cheer,ライブ,ラブライブ！スーパースター!!,,,,all,,P,PL!SP-sd1-024-P,"red:1,purple:1,grey:3",,2,,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/SPSD02/PL!SP-sd1-024-P.png
シェキラ☆☆☆,,スタートデッキ ラブライブ！スーパースター!! cheer,ライブ,ラブライブ！スーパースター!!,,,,all,,SD2,PL!SP-sd1-024-SD2,"red:1,purple:1,grey:3",,2,,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/SPSD02/PL!SP-sd1-024-SD2.png
唐 可可,Tang Keke,スタートデッキ ラブライブ！スーパースター!! cheer,エネルギー,ラブライブ！スーパースター!!,KALEIDOSCORE,,,,,SECS,PL!SP-sd2-000-SECS,,,,,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/SPSD02/PL!SP-sd2-000-SECS.png
唐 可可,Tang Keke,スタートデッキ ラブライブ！スーパースター!! cheer,エネルギー,ラブライブ！スーパースター!!,KALEIDOSCORE,,,,,P,PL!SP-sd2-000-P,,,,,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/SPSD02/PL!SP-sd2-000-P.png
澁谷かのん,Shibuya Kanon,スタートデッキ ラブライブ！スーパースター!! cheer,メンバー,ラブライブ！スーパースター!!,CatChu!,17,"red:3,yellow:2,purple:2",,7,SD2,PL!SP-sd2-001-SD2,,,,<ライブ開始時> カードを1枚引く。その後、自分のステージにいるメンバーをフォーメーションチェンジしてもよい。(メンバーをそれぞれ好きなエリアに移動させる。この効果で1つのエリアに2人以上のメンバーを移動させることはできない。),https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/SPSD02/PL!SP-sd2-001-SD2.png
唐 可可,Tang Keke,スタートデッキ ラブライブ！スーパースター!! cheer,エネルギー,ラブライブ！スーパースター!!,KALEIDOSCORE,,,,,P,PL!SP-sd2-002-P,,,,<起動> <ターン1回> <E> <E> ：このメンバーをポジションチェンジする。 <自動> <ターン1回> このメンバーがエリアを移動したとき、ライブ終了時まで、 purple を得る。 (対戦相手のカードの効果でも発動する。),https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/SPSD02/PL!SP-sd2-002-P.png
唐 可可,Tang Keke,スタートデッキ ラブライブ！スーパースター!! cheer,メンバー,ラブライブ！スーパースター!!,KALEIDOSCORE,13,"red:2,yellow:2,purple:2",yellow,3,SD2,PL!SP-sd2-002-SD2,,,,<起動> <ターン1回> <E> <E> ：このメンバーをポジションチェンジする。 <自動> <ターン1回> このメンバーがエリアを移動したとき、ライブ終了時まで、 purple を得る。 (対戦相手のカードの効果でも発動する。),https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/SPSD02/PL!SP-sd2-002-SD2.png
嵐 千砂都,Arashi Chisato,スタートデッキ ラブライブ！スーパースター!! cheer,メンバー,ラブライブ！スーパースター!!,5yncri5e!,11,"red:1,yellow:2,purple:2",purple,2,SD2,PL!SP-sd2-003-SD2,,,,<ライブ成功時> カードを1枚引く。このターン、このメンバーがエリアを移動している場合、さらにカードを1枚引く。,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/SPSD02/PL!SP-sd2-003-SD2.png
平安名すみれ,Heanna Sumire,スタートデッキ ラブライブ！スーパースター!! cheer,メンバー,ラブライブ！スーパースター!!,CatChu!,11,"red:1,yellow:1,purple:1",red,2,SD2,PL!SP-sd2-004-SD2,,,,<常時> <センター> <ブレード> <ブレード> <ブレード> <ブレード> を得る。,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/SPSD02/PL!SP-sd2-004-SD2.png
葉月 恋,Hazuki Ren,スタートデッキ ラブライブ！スーパースター!! cheer,メンバー,ラブライブ！スーパースター!!,KALEIDOSCORE,5,"yellow:1,purple:1",,2,SD2,PL!SP-sd2-005-SD2,,,,<登場> このメンバーをポジションチェンジしてもよい。(このメンバーを今いるエリア以外のエリアに移動させる。そのエリアにメンバーがいる場合、そのメンバーはこのメンバーがいたエリアに移動させる。),https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/SPSD02/PL!SP-sd2-005-SD2.png
桜小路きな子,Sakurakoji Kinako,スタートデッキ ラブライブ！スーパースター!! cheer,メンバー,ラブライブ！スーパースター!!,5yncri5e!,7,"red:1,yellow:1,purple:1",,1,SD2,PL!SP-sd2-006-SD2,,,,<起動> <ターン1回> <E> <E> 手札を1枚控え室に置く：自分の控え室から『Liella!』のライブカードを1枚手札に加える。,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/SPSD02/PL!SP-sd2-006-SD2.png
米女メイ,Yoneme Mei,スタートデッキ ラブライブ！スーパースター!! cheer,メンバー,ラブライブ！スーパースター!!,CatChu!,4,red:1,red,2,SD2,PL!SP-sd2-007-SD2,,,,<登場> このメンバーをポジションチェンジしてもよい。(このメンバーを今いるエリア以外のエリアに移動させる。そのエリアにメンバーがいる場合、そのメンバーはこのメンバーがいたエリアに移動させる。),https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/SPSD02/PL!SP-sd2-007-SD2.png
若菜四季,Wakana Shiki,スタートデッキ ラブライブ！スーパースター!! cheer,メンバー,ラブライブ！スーパースター!!,5yncri5e!,5,"red:1,purple:1",,2,SD2,PL!SP-sd2-008-SD2,,,,<常時> 自分のステージにコスト13以上のメンバーがいるかぎり、 yellow を得る。,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/SPSD02/PL!SP-sd2-008-SD2.png
鬼塚夏美,Onitsuka Natsumi,スタートデッキ ラブライブ！スーパースター!! cheer,メンバー,ラブライブ！スーパースター!!,5yncri5e!,11,"yellow:2,purple:2",yellow,4,SD2,PL!SP-sd2-009-SD2,,,,<登場> カードを1枚引く。,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/SPSD02/PL!SP-sd2-009-SD2.png
ウィーン・マルガレーテ,Wien Margarete,スタートデッキ ラブライブ！スーパースター!! cheer,メンバー,ラブライブ！スーパースター!!,KALEIDOSCORE,2,yellow:1,yellow,1,SD2,PL!SP-sd2-010-SD2,,,,<起動> このメンバーをステージから控え室に置く：自分の控え室からライブカードを1枚手札に加える。,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/SPSD02/PL!SP-sd2-010-SD2.png
鬼塚冬毬,Onitsuka Tomari,スタートデッキ ラブライブ！スーパースター!! cheer,メンバー,ラブライブ！スーパースター!!,5yncri5e!,4,yellow:1,yellow,2,SD2,PL!SP-sd2-011-SD2,,,,<自動> <ターン1回> このメンバーがエリアを移動したとき、ライブ終了時まで、 <ブレード> を得る。 (対戦相手のカードの効果でも発動する。),https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/SPSD02/PL!SP-sd2-011-SD2.png
澁谷かのん,Shibuya Kanon,スタートデッキ ラブライブ！スーパースター!! cheer,メンバー,ラブライブ！スーパースター!!,CatChu!,2,red:1,red,1,SD2,PL!SP-sd2-012-SD2,,,,<自動> <ターン1回> このメンバーがエリアを移動したとき、ライブ終了時まで、 red を得る。 (対戦相手のカードの効果でも発動する。),https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/SPSD02/PL!SP-sd2-012-SD2.png
唐 可可,Tang Keke,スタートデッキ ラブライブ！スーパースター!! cheer,メンバー,ラブライブ！スーパースター!!,KALEIDOSCORE,2,purple:1,purple,1,SD2,PL!SP-sd2-013-SD2,,,,<自動> <ターン1回> このメンバーがエリアを移動したとき、ライブ終了時まで、 purple を得る。 (対戦相手のカードの効果でも発動する。),https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/SPSD02/PL!SP-sd2-013-SD2.png
嵐 千砂都,Arashi Chisato,スタートデッキ ラブライブ！スーパースター!! cheer,メンバー,ラブライブ！スーパースター!!,5yncri5e!,2,yellow:1,yellow,1,SD2,PL!SP-sd2-014-SD2,,,,<起動> このメンバーをステージから控え室に置く：自分の控え室からメンバーカードを1枚手札に加える。,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/SPSD02/PL!SP-sd2-014-SD2.png
